run_id,training_regime,task_id,graph_id,size_stratum,m,dilution_score,objective,alpha,shots_per_evaluation,seed,nfev_budget,actual_nfev,scipy_reported_nfev,nit,termination_reason,optimizer_status,optimizer_success,wall_time_s,total_sampled_bitstrings,sampled_objective_terminal,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas,terminal_parameters
a3train-a69c9012ed491f0d1a9f,SHOT_1000,task-v2-8d35df6592f7,g-64377640089a831f,S3,13,3.0682919036174985,O0,0.1,1000,7303,240,47,47,23,EARLY_CONVERGENCE,0,True,0.2518287245184183,47000,1.3223748573039042,1.353857009413597,0.08165482539004411,0.01255304112412682,0.15373299819287067,1.9802737580710437,"[5.957669665372158, 4.679554073166757, 0.49076727403944903, 2.5247431052058493, 0.122914359384399, -0.00023973764908067849]"
a3train-aa525602cb0094c36287,SHOT_1000,task-v2-00b7b12999ba,g-28cd30a80498cca2,S4,16,4.816479930623699,O3,0.1,1000,7302,240,53,53,27,EARLY_CONVERGENCE,0,True,2.341058182530105,53000,0.9883078335373315,1.490857408597502,0.0036090890065414447,0.0036090890065414447,1.0,2.373877523288124,"[3.1613734823476607, 5.640543306599469, 0.5024214809682992, 3.1827758481622523, -0.5602739306424042, -0.1856181866669694]"
a3train-aae92d42b4d386a60272,SHOT_1000,task-v2-6dd269836f23,g-c45ecbe0242c6377,S1,7,2.1072099696478683,O3,0.1,1000,7302,240,46,46,22,EARLY_CONVERGENCE,0,True,0.1090653957799077,46000,0.1642463780968253,1.7159739218941683,0.076822392557939,0.076822392557939,1.0,0.992697798362601,"[5.985757842420007, 3.9217268319202803, -0.0015353732013103465, 2.5922441254003545, 0.17864777767543355, -0.004801155915159578]"
a3train-ab32fae760009ea3415e,SHOT_10000,task-v2-cb6317a18cf3,g-f6afb3a3727100d3,S4,16,3.816479930623699,O0,0.1,10000,7302,240,52,52,26,EARLY_CONVERGENCE,0,True,2.340291769243777,520000,1.1914568151870102,1.1997877840966822,0.03605581990783944,0.0063298095670637315,0.1755558349038534,2.3734553064713193,"[6.4509859686889275, 7.033578618430342, 0.4683590239685063, 2.561432814356734, -0.21501053175627846, -0.09704182913238499]"
a3train-ab4c0038af221f851556,SHOT_1000,task-v2-cb6317a18cf3,g-f6afb3a3727100d3,S4,16,3.816479930623699,O0,0.1,1000,7301,240,55,55,26,EARLY_CONVERGENCE,0,True,2.4827963523566723,55000,1.185882455600097,1.2090927731686774,0.04607594171868536,0.008038325114857777,0.1744581839246047,2.47995415089135,"[6.472332112435243, 7.04926049089537, -0.0010972672398579788, 2.6235585482046058, -0.2393677158719251, -0.0024235670787075485]"
a3train-ac98957ed767c3a4d0b9,SHOT_10000,task-v2-6dd269836f23,g-c45ecbe0242c6377,S1,7,2.1072099696478683,O0,0.1,10000,7302,240,48,48,23,EARLY_CONVERGENCE,0,True,0.11107414308935404,480000,1.6790942630947385,1.6987820084407266,0.07619822083423354,0.07619822083423354,1.0,0.9891548006870038,"[5.4840160911681926, 3.896849879702059, 0.0, 2.590006968364096, 0.17814794985058188, 0.0]"
a3train-b09fb10f37a1bbde2ba0,SHOT_1000,task-v2-07632e755d52,g-a529fbde22ed09f4,S1,7,1.630088714928206,O3,0.1,1000,7303,240,36,36,20,EARLY_CONVERGENCE,0,True,0.0672139236703515,36000,0.05232558139534881,1.2373877527038526,0.2530761538121439,0.10240873013093126,0.4046557867595393,1.033339940466956,"[2.250200247560789, 4.270793580028745, 0.5, 3.151499755542524, -0.47765860019613887, 0.0]"
a3train-b0ccdbd5fe6f40e50b8b,SHOT_1000,task-v2-8ea177161d6a,g-4a80ed839b63ddd7,S5,19,4.640388671568018,O0,0.1,1000,7305,240,52,52,25,EARLY_CONVERGENCE,0,True,61.60236110910773,52000,1.5333403715737912,1.5847860276715116,0.00569769153358144,0.0017042048130215396,0.2991044360645328,2.396087604907817,"[4.056708128909791, 3.5597851000786895, -0.00015937795150905033, 3.4119776498328145, -0.8930977871001344, 0.002365417839132535]"
a3train-b0dd10085c3ab82c1e3a,SHOT_1000,task-v2-cb6317a18cf3,g-f6afb3a3727100d3,S4,16,3.816479930623699,O0,0.1,1000,7304,240,50,50,24,EARLY_CONVERGENCE,0,True,2.157916466705501,50000,1.1943162558051195,1.2301806277963387,0.04217169232876523,0.006778244440544614,0.16072972333437013,2.4415009600070032,"[5.9679968705312465, 7.049481612521294, 0.5040075884864187, 2.6211805708584013, -0.239260447590044, 0.0016041989814746527]"
a3train-b23da67469c958ce762a,SHOT_10000,task-v2-693f08fcb4be,g-8c950d2bd101a5de,S2,10,2.4082399653118496,O3,0.1,10000,7303,240,50,50,24,EARLY_CONVERGENCE,0,True,0.16220080573111773,500000,0.10033720930232556,1.4157558570412019,0.15409083127317968,0.04541224060427313,0.2947108548188965,1.5960167633688263,"[6.542431606209117, 4.371955246309704, 0.0, 2.6159270345401393, 0.13090374682834627, 0.0]"
a3train-b36957f98412e07e0699,SHOT_10000,task-v2-8ea177161d6a,g-4a80ed839b63ddd7,S5,19,4.640388671568018,O0,0.1,10000,7304,240,52,52,25,EARLY_CONVERGENCE,0,True,69.45238694921136,520000,1.5572566795408613,1.5698538435418317,0.005312686956315885,0.0014279756097987505,0.2687859498480575,2.36570289795207,"[4.026039172637598, 4.0670801038558775, 0.4881317089122177, 3.393375647509879, -0.9240641826029637, -0.029554851646162207]"
