run_id,task_id,graph_id,size_stratum,m,dilution_score,endpoint_objective,shots,replicate,sampling_seed,alpha,cvar_estimate,cvar_exact,cvar_error,relative_error,p_feas_estimate,p_feas_exact,p_opt_estimate,p_opt_exact
a3est-745cf35d6fd0f442632d,task-v2-30409dd5a775,g-686fdbb6f8f550f1,S2,10,3.010299956639812,O0,10000,27,4364614960339883422,0.1,1.0632052385491708,1.0682784580823228,-0.005073219533151985,-0.00474896736405129,0.0063,0.005779624753250466,0.0063,0.005779624753250466
a3est-745cf35d6fd0f442632d,task-v2-30409dd5a775,g-686fdbb6f8f550f1,S2,10,3.010299956639812,O0,10000,27,4364614960339883422,0.25,1.1199495372801336,1.1213862002225017,-0.0014366629423681054,-0.0012811491189057326,0.0063,0.005779624753250466,0.0063,0.005779624753250466
a3est-745cf35d6fd0f442632d,task-v2-30409dd5a775,g-686fdbb6f8f550f1,S2,10,3.010299956639812,O0,10000,27,4364614960339883422,0.5,1.1775482237313655,1.1771362757812127,0.00041194795015275787,0.00034995773949738013,0.0063,0.005779624753250466,0.0063,0.005779624753250466
a3est-74647023a60fa70778a3,task-v2-66ecfca58e61,g-b9a8415aa1799cc5,S5,19,4.719569917615643,O0,1000,41,7573056370528895783,0.02,0.42474806201550397,0.5566736612332893,-0.13192559921778535,-0.23698911661368927,0.013,0.010158039331617628,0.003,0.0023882460367730257
a3est-74647023a60fa70778a3,task-v2-66ecfca58e61,g-b9a8415aa1799cc5,S5,19,4.719569917615643,O0,1000,41,7573056370528895783,0.05,0.8192480620155038,0.8756112165581493,-0.05636315454264551,-0.0643700691320489,0.013,0.010158039331617628,0.003,0.0023882460367730257
a3est-74647023a60fa70778a3,task-v2-66ecfca58e61,g-b9a8415aa1799cc5,S5,19,4.719569917615643,O0,1000,41,7573056370528895783,0.1,0.9649883720930233,0.994818452118797,-0.029830080025773698,-0.02998545107626483,0.013,0.010158039331617628,0.003,0.0023882460367730257
a3est-74647023a60fa70778a3,task-v2-66ecfca58e61,g-b9a8415aa1799cc5,S5,19,4.719569917615643,O0,1000,41,7573056370528895783,0.25,1.0741472868217055,1.0870774543792239,-0.012930167557518413,-0.01189443080199119,0.013,0.010158039331617628,0.003,0.0023882460367730257
a3est-74647023a60fa70778a3,task-v2-66ecfca58e61,g-b9a8415aa1799cc5,S5,19,4.719569917615643,O0,1000,41,7573056370528895783,0.5,1.133537984496124,1.1423344988792736,-0.008796514383149656,-0.007700471614732618,0.013,0.010158039331617628,0.003,0.0023882460367730257
a3est-746b2b9720749bc6819b,task-v2-30409dd5a775,g-686fdbb6f8f550f1,S2,10,3.010299956639812,O3,1000,43,6873709232813388527,0.02,0.1453488372093023,0.14534883720930233,-2.7755575615628914e-17,-1.9095836023552692e-16,0.059,0.056667201908722924,0.059,0.056667201908722924
a3est-746b2b9720749bc6819b,task-v2-30409dd5a775,g-686fdbb6f8f550f1,S2,10,3.010299956639812,O3,1000,43,6873709232813388527,0.05,0.14534883720930233,0.14534883720930233,0.0,0.0,0.059,0.056667201908722924,0.059,0.056667201908722924
a3est-746b2b9720749bc6819b,task-v2-30409dd5a775,g-686fdbb6f8f550f1,S2,10,3.010299956639812,O3,1000,43,6873709232813388527,0.1,0.5331929388507654,0.5591948078446514,-0.026001868993886013,-0.04649876685033444,0.059,0.056667201908722924,0.059,0.056667201908722924
a3est-746b2b9720749bc6819b,task-v2-30409dd5a775,g-686fdbb6f8f550f1,S2,10,3.010299956639812,O3,1000,43,6873709232813388527,0.25,0.9181143848426317,0.9256458383406563,-0.007531453498024532,-0.008136431004244202,0.059,0.056667201908722924,0.059,0.056667201908722924
a3est-746b2b9720749bc6819b,task-v2-30409dd5a775,g-686fdbb6f8f550f1,S2,10,3.010299956639812,O3,1000,43,6873709232813388527,0.5,1.3593727438857623,1.336432799445,0.022939944440762305,0.017165056447498828,0.059,0.056667201908722924,0.059,0.056667201908722924
a3est-747e268602cd6be31d7d,task-v2-00b7b12999ba,g-28cd30a80498cca2,S4,16,4.816479930623699,O3,1000,41,4491518313590271580,0.02,0.5472307221542227,0.6055713499479437,-0.058340627793720956,-0.09633980834584735,0.011,0.009730221967166967,0.011,0.009730221967166967
a3est-747e268602cd6be31d7d,task-v2-00b7b12999ba,g-28cd30a80498cca2,S4,16,4.816479930623699,O3,1000,41,4491518313590271580,0.05,0.8567503059975522,0.8811354194183881,-0.024385113420835935,-0.02767464896250776,0.011,0.009730221967166967,0.011,0.009730221967166967
a3est-747e268602cd6be31d7d,task-v2-00b7b12999ba,g-28cd30a80498cca2,S4,16,4.816479930623699,O3,1000,41,4491518313590271580,0.1,0.9706307596084891,0.983702276895243,-0.013071517286753931,-0.013288082780503668,0.011,0.009730221967166967,0.011,0.009730221967166967
a3est-747e268602cd6be31d7d,task-v2-00b7b12999ba,g-28cd30a80498cca2,S4,16,4.816479930623699,O3,1000,41,4491518313590271580,0.25,1.0583372149959487,1.065745961695085,-0.0074087466991363815,-0.006951700466547073,0.011,0.009730221967166967,0.011,0.009730221967166967
a3est-747e268602cd6be31d7d,task-v2-00b7b12999ba,g-28cd30a80498cca2,S4,16,4.816479930623699,O3,1000,41,4491518313590271580,0.5,1.116217345619938,1.1218956882933926,-0.005678342673454573,-0.005061382027497017,0.011,0.009730221967166967,0.011,0.009730221967166967
a3est-747e97ef8ee4bd3a984c,task-v2-8d35df6592f7,g-64377640089a831f,S3,13,3.0682919036174985,O0,10000,18,8629335669676229623,0.02,0.08851744186046513,0.08874407886530183,-0.00022663700483670224,-0.0025538267762145353,0.0941,0.09252680413837808,0.0155,0.014720368703361708
a3est-747e97ef8ee4bd3a984c,task-v2-8d35df6592f7,g-64377640089a831f,S3,13,3.0682919036174985,O0,10000,18,8629335669676229623,0.05,0.09122093023255813,0.09131158503449283,-9.065480193469477e-05,-0.0009928072314203072,0.0941,0.09252680413837808,0.0155,0.014720368703361708
a3est-747e97ef8ee4bd3a984c,task-v2-8d35df6592f7,g-64377640089a831f,S3,13,3.0682919036174985,O0,10000,18,8629335669676229623,0.1,0.15264680232558134,0.16769362627690299,-0.015046823951321647,-0.0897280611397578,0.0941,0.09252680413837808,0.0155,0.014720368703361708
a3est-747e97ef8ee4bd3a984c,task-v2-8d35df6592f7,g-64377640089a831f,S3,13,3.0682919036174985,O0,10000,18,8629335669676229623,0.25,0.7295563953488372,0.7368647097152322,-0.007308314366395008,-0.00991812237719916,0.0941,0.09252680413837808,0.0155,0.014720368703361708
a3est-747e97ef8ee4bd3a984c,task-v2-8d35df6592f7,g-64377640089a831f,S3,13,3.0682919036174985,O0,10000,18,8629335669676229623,0.5,0.9513037790697674,0.9551460810173193,-0.0038423019475519737,-0.004022737488970865,0.0941,0.09252680413837808,0.0155,0.014720368703361708
a3est-7483f4ff2f2f9b8f2677,task-v2-59fd840ba77c,g-64377640089a831f,S3,13,3.9133899436317554,O3,100000,6,4072534740386053197,0.02,0.384672965116279,0.38889791132757934,-0.004224946211300318,-0.010863895352067166,0.0139,0.013813360268453813,0.0139,0.013813360268453813
a3est-7483f4ff2f2f9b8f2677,task-v2-59fd840ba77c,g-64377640089a831f,S3,13,3.9133899436317554,O3,100000,6,4072534740386053197,0.05,0.7946203488372093,0.7963225237208876,-0.001702174883678298,-0.0021375445663959556,0.0139,0.013813360268453813,0.0139,0.013813360268453813
a3est-7483f4ff2f2f9b8f2677,task-v2-59fd840ba77c,g-64377640089a831f,S3,13,3.9133899436317554,O3,100000,6,4072534740386053197,0.1,0.9428616847766136,0.9438042740004394,-0.0009425892238258404,-0.0009987126036530342,0.0139,0.013813360268453813,0.0139,0.013813360268453813
