task_id,base_graph_id,base_instance_id,size_stratum,stress_level,dilution_score,Delta_G_2_1,Delta_G_3_2,Delta_G_3_1,Delta_log10_P_feas_2_1,Delta_log10_P_feas_3_2,Delta_log10_P_feas_3_1,Delta_P_opt_2_1,Delta_P_opt_3_2,Delta_P_opt_3_1
task-v2-ef23e17da545,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D3,3.436268688912093,-0.069456788669233,-1.1806528249630275,-1.2501096136322607,-0.06945678866923388,-1.1806528249630515,-1.2501096136322853,-0.0008197534251082987,-0.007654549370888801,-0.0084743027959971
task-v2-ac528a9510be,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D4,3.311329952303793,0.10441533374297096,-1.3772871794137542,-1.2728718456707833,0.1044153337429714,-1.3772871794137818,-1.2728718456708104,0.0006280911364539999,-0.005850887645773,-0.005222796509319
task-v2-5b0627539151,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D5,3.2144199392957367,0.9876237812378088,-0.14810026343549199,0.8395235178023168,0.9876237812378168,-0.14810026343549287,0.8395235178023239,0.010092114503751401,0.001460186716774399,0.0115523012205258
task-v2-c5ed7c8b71f4,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D6,3.135238693248112,0.6529886631108709,0.20080746965093965,0.8537961327618105,0.6529886631108752,0.20080746965093965,0.8537961327618149,0.0016240632133520002,0.0122361258640829,0.013860189077434899
task-v2-8c0a098a6f8b,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D7,3.0682919036174985,0.516799510492242,0.44345248150683614,0.9602519919990782,0.516799510492244,0.4434524815068366,0.9602519919990806,0.0013346374663312,0.0128299709978781,0.0141646084642093
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D1,4.816479930623699,0.017686428484474437,-0.5283899637009333,-0.5107035352164588,0.017686428484490868,-0.5283899637009872,-0.5107035352164964,7.01986871077e-05,-0.0012380127296491,-0.0011678140425414002
task-v2-095187356858,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D2,4.515449934959718,0.12112226042171592,-0.9393317866676076,-0.8182095262458917,0.12112226042171637,-0.9393317866677178,-0.8182095262460014,0.0005802913038260998,-0.0019070131780060998,-0.00132672187418
task-v2-0b71cbcaebc2,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D3,4.339358675904037,-0.24879443782314792,-0.27041998166349646,-0.5192144194866444,-0.24879443782316102,-0.27041998166350645,-0.5192144194866675,-0.0012888364710361,0.0005361290235194999,-0.0007527074475166
task-v2-606c43f06406,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D4,4.214419939295737,-0.03673235838896716,-0.5711664750019987,-0.6078988333909658,-0.03673235838896938,-0.5711664750020189,-0.6078988333909883,-0.00031981241702330005,-0.0004983832945986,-0.0008181957116219
task-v2-9f1427c2fbd8,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D5,4.038328680240055,-0.3118851569008887,-0.05105240156760238,-0.3629375584684911,-0.3118851569008858,-0.05105240156760171,-0.3629375584684875,-0.0019992160615039,0.00024170941120970008,-0.0017575066502941998
