task_id,base_graph_id,size_stratum,stress_level,raw_normalized_argmin_identical,normalized_ground_state_exact_original_optimal,flow_classification_unchanged,resource_classification_unchanged,feasible_state_fraction,dilution_score,raw_energy_span,normalized_energy_span
task-v2-9f1427c2fbd8,g-3ff7063ef9ea5cfb,S4,D5,True,True,True,True,9.1552734375e-05,4.038328680240055,631.6487403601338,3.6723763974426387
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,S4,D6,True,True,True,True,0.0001220703125,3.9133899436317554,625.3495254717899,3.635753055068546
task-v2-b5e00db3fe1a,g-3ff7063ef9ea5cfb,S4,D7,True,True,True,True,0.0001373291015625,3.8622374211843744,622.7821691689151,3.6208265649355527
task-v2-59a464f36e13,g-bd62d2d752385cc7,S4,D1,True,True,True,True,1.52587890625e-05,4.816479930623699,661.8026456014086,3.8476898000081894
task-v2-a2561503b5d0,g-bd62d2d752385cc7,S4,D2,True,True,True,True,3.0517578125e-05,4.515449934959718,646.7846833737137,3.7603760661262426
task-v2-f6d986d24578,g-bd62d2d752385cc7,S4,D3,True,True,True,True,4.57763671875e-05,4.339358675904037,645.7527937552998,3.7543767078796497
task-v2-5d31ef4af595,g-bd62d2d752385cc7,S4,D4,True,True,True,True,6.103515625e-05,4.214419939295737,630.0381303965651,3.663012386026541
task-v2-5b5a3995de2b,g-bd62d2d752385cc7,S4,D5,True,True,True,True,7.62939453125e-05,4.11750992628768,628.0712969319711,3.651577307744018
task-v2-cf1a83d8dbf9,g-bd62d2d752385cc7,S4,D6,True,True,True,True,9.1552734375e-05,4.038328680240055,627.354641104768,3.647410704097488
task-v2-e243a3cd3e64,g-bd62d2d752385cc7,S4,D7,True,True,True,True,0.0001220703125,3.9133899436317554,619.6373527340297,3.602542748453661
task-v2-00b7b12999ba,g-28cd30a80498cca2,S4,D1,True,True,True,True,1.52587890625e-05,4.816479930623699,650.7165819658862,3.7832359416621295
task-v2-26d674ac9727,g-28cd30a80498cca2,S4,D2,True,True,True,True,3.0517578125e-05,4.515449934959718,647.5966836815701,3.7650969981486635
task-v2-d4d85eef1fda,g-28cd30a80498cca2,S4,D3,True,True,True,True,4.57763671875e-05,4.339358675904037,642.2992321169928,3.734297861145307
task-v2-45bf90adfb6d,g-28cd30a80498cca2,S4,D4,True,True,True,True,6.103515625e-05,4.214419939295737,636.9819362211017,3.7033833501226843
task-v2-980575647e27,g-28cd30a80498cca2,S4,D5,True,True,True,True,7.62939453125e-05,4.11750992628768,640.345181195202,3.7229370999721048
task-v2-36c69f7819b3,g-28cd30a80498cca2,S4,D6,True,True,True,True,9.1552734375e-05,4.038328680240055,629.4221317261943,3.659430998408106
task-v2-05a98ad7eaff,g-28cd30a80498cca2,S4,D7,True,True,True,True,0.0001220703125,3.9133899436317554,621.200413905674,3.611630313405082
task-v2-9e1a55247e55,g-f6afb3a3727100d3,S4,D1,True,True,True,True,1.52587890625e-05,4.816479930623699,704.3596835206388,4.095114439073481
task-v2-eb5609efbad0,g-f6afb3a3727100d3,S4,D2,True,True,True,True,3.0517578125e-05,4.515449934959718,703.5477152649712,4.090393693400995
task-v2-41fa72c23442,g-f6afb3a3727100d3,S4,D3,True,True,True,True,4.57763671875e-05,4.339358675904037,698.2327156713538,4.059492532972987
task-v2-e6a20043db41,g-f6afb3a3727100d3,S4,D4,True,True,True,True,6.103515625e-05,4.214419939295737,697.7865875163814,4.056898764630124
task-v2-db534d0b262a,g-f6afb3a3727100d3,S4,D5,True,True,True,True,9.1552734375e-05,4.038328680240055,688.9854209492776,4.0057291915655675
task-v2-6372d6a2314d,g-f6afb3a3727100d3,S4,D6,True,True,True,True,0.0001220703125,3.9133899436317554,676.1019672484139,3.9308253909791504
task-v2-cb6317a18cf3,g-f6afb3a3727100d3,S4,D7,True,True,True,True,0.000152587890625,3.816479930623699,642.9081364278131,3.7378380024872855
task-v2-9bb6197d70f9,g-2fa0de1665fa7816,S4,D1,True,True,True,True,1.52587890625e-05,4.816479930623699,638.5542063967257,3.712524455794917
task-v2-d50991f4f8ba,g-2fa0de1665fa7816,S4,D2,True,True,True,True,3.0517578125e-05,4.515449934959718,641.486296614181,3.7295714919429126
task-v2-51e0b98b7ef5,g-2fa0de1665fa7816,S4,D3,True,True,True,True,4.57763671875e-05,4.339358675904037,644.9457011497968,3.749684309010447
task-v2-41f38ee1e3c2,g-2fa0de1665fa7816,S4,D4,True,True,True,True,6.103515625e-05,4.214419939295737,642.5901737546449,3.7359893822944468
task-v2-7a2c20a84cd2,g-2fa0de1665fa7816,S4,D5,True,True,True,True,7.62939453125e-05,4.11750992628768,625.2329421950473,3.635075245320042
task-v2-c4754bf838d1,g-2fa0de1665fa7816,S4,D6,True,True,True,True,9.1552734375e-05,4.038328680240055,625.1971769217045,3.634867307684328
task-v2-aefa943bb0f9,g-2fa0de1665fa7816,S4,D7,True,True,True,True,0.0001220703125,3.9133899436317554,606.6924223070087,3.527281525040748
task-v2-4746dcc3bd93,g-a87f1b9ac089cc45,S5,D1,True,True,True,True,1.9073486328125e-06,5.719569917615643,663.207067908528,3.8558550459798138
task-v2-7d4ec5aed494,g-a87f1b9ac089cc45,S5,D2,True,True,True,True,3.814697265625e-06,5.418539921951662,658.541194269005,3.828727873657006
task-v2-7133b996bac7,g-a87f1b9ac089cc45,S5,D3,True,True,True,True,5.7220458984375e-06,5.24244866289598,658.322874731653,3.827458574021238
task-v2-b9b3757d64c0,g-a87f1b9ac089cc45,S5,D4,True,True,True,True,7.62939453125e-06,5.11750992628768,657.5602594251072,3.823024764099461
task-v2-11173062a501,g-a87f1b9ac089cc45,S5,D5,True,True,True,True,1.1444091796875e-05,4.941418667231999,632.471228757995,3.6771583067325295
task-v2-c95d7e1ff6e7,g-a87f1b9ac089cc45,S5,D6,True,True,True,True,1.52587890625e-05,4.816479930623699,615.2559581074667,3.57706952388062
task-v2-f5c9b9bdeb27,g-a87f1b9ac089cc45,S5,D7,True,True,True,True,1.9073486328125e-05,4.719569917615643,605.3627476722257,3.5195508585594517
task-v2-420d9636beee,g-e0c69f84d376b633,S5,D1,True,True,True,True,1.9073486328125e-06,5.719569917615643,744.1696091189781,4.3265674948777795
task-v2-e449b07a1126,g-e0c69f84d376b633,S5,D2,True,True,True,True,3.814697265625e-06,5.418539921951662,739.4884682754432,4.299351559740949
task-v2-6e79cb6720c5,g-e0c69f84d376b633,S5,D3,True,True,True,True,5.7220458984375e-06,5.24244866289598,735.3678925832343,4.27539472432113
task-v2-526a936f38d9,g-e0c69f84d376b633,S5,D4,True,True,True,True,7.62939453125e-06,5.11750992628768,736.1529344074795,4.279958920973718
task-v2-89b7591232ff,g-e0c69f84d376b633,S5,D5,True,True,True,True,1.1444091796875e-05,4.941418667231999,732.631503075077,4.259485482994634
task-v2-5f165c277bb9,g-e0c69f84d376b633,S5,D6,True,True,True,True,1.52587890625e-05,4.816479930623699,719.1031525059985,4.180832282011619
task-v2-780e1209d403,g-e0c69f84d376b633,S5,D7,True,True,True,True,2.288818359375e-05,4.640388671568018,692.2831322928262,4.024901931935036
