task_id,base_instance_id,size_stratum,dilution_score,p3_view,p2_reference,Delta_G_3_2,Delta_log10_P_feas_3_2,Delta_P_opt_3_2
task-v2-7133b996bac7,v2-S5-b000-g-a87f1b9ac089cc45,S5,5.24244866289598,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.0854823233993911,0.08548232339938888,0.0003491381813170002
task-v2-b9b3757d64c0,v2-S5-b000-g-a87f1b9ac089cc45,S5,5.11750992628768,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.1256542219311041,0.1256542219311072,0.0006344350023398
task-v2-420d9636beee,v2-S5-b001-g-e0c69f84d376b633,S5,5.719569917615643,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.32647813428439854,0.326478134284407,0.0011811602711461998
task-v2-e449b07a1126,v2-S5-b001-g-e0c69f84d376b633,S5,5.418539921951662,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.26989550350559943,0.26989550350560876,0.0010037611902892
task-v2-6e79cb6720c5,v2-S5-b001-g-e0c69f84d376b633,S5,5.24244866289598,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.364881832611355,0.36488183261135587,0.0011298251247975999
task-v2-526a936f38d9,v2-S5-b001-g-e0c69f84d376b633,S5,5.11750992628768,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.32055735309008737,0.32055735309009536,0.0007000392266846001
task-v2-89b7591232ff,v2-S5-b001-g-e0c69f84d376b633,S5,4.941418667231999,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.2639008921554673,0.2639008921554735,0.0003161573928443
task-v2-780e1209d403,v2-S5-b001-g-e0c69f84d376b633,S5,4.640388671568018,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.22798045169675119,0.22798045169675318,0.0009335659066495
task-v2-5f165c277bb9,v2-S5-b001-g-e0c69f84d376b633,S5,4.816479930623699,P3_CONTINUATION_B1,P2_METRICWISE_MEDIAN,0.16834236130067248,0.16834236130067182,0.0009441947090731999
task-v2-07b8f456a957,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,3.9133899436317554,P3_CONTINUATION_B1_SELECTED,P2_OBJECTIVE_SELECTED_MATCHED,0.18659761851999868,0.18659761852,0.0030818946065199002
task-v2-095187356858,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,4.515449934959718,P3_CONTINUATION_B1_SELECTED,P2_OBJECTIVE_SELECTED_MATCHED,0.25301171730613525,0.2530117173061397,0.0011276238908120998
task-v2-0b71cbcaebc2,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,4.339358675904037,P3_CONTINUATION_B1_SELECTED,P2_OBJECTIVE_SELECTED_MATCHED,0.13766135836866744,0.13766135836868187,-0.00019251458739389998
task-v2-0c6c4504c3d3,v2-S3-b000-g-8a16a856f5377a40,S3,3.2144199392957367,P3_CONTINUATION_B1_SELECTED,P2_OBJECTIVE_SELECTED_MATCHED,0.22123229501834984,0.22123229501835007,0.0095211768164229
task-v2-11173062a501,v2-S5-b000-g-a87f1b9ac089cc45,S5,4.941418667231999,P3_CONTINUATION_B1_SELECTED,P2_OBJECTIVE_SELECTED_MATCHED,0.5353399103791108,0.535339910379117,0.0032308190130482996
task-v2-2d64318cb7be,v2-S2-b001-g-6aa6775bed3bc2cc,S2,2.709269960975831,P3_CONTINUATION_B1_SELECTED,P2_OBJECTIVE_SELECTED_MATCHED,0.5287064752968278,0.5287064752968307,0.0206508771898243
task-v2-3cd2eda112d3,v2-S2-b001-g-6aa6775bed3bc2cc,S2,2.533178701920149,P3_CONTINUATION_B1_SELECTED,P2_OBJECTIVE_SELECTED_MATCHED,0.002104926921045136,0.002104926921044914,6.637348197709864e-05
task-v2-3f11ce371857,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,4.816479930623699,P3_CONTINUATION_B1_SELECTED,P2_OBJECTIVE_SELECTED_MATCHED,0.5844809008459293,0.5844809008459491,0.0032434824650923004
task-v2-3f363bac5736,v2-S2-b000-g-60667963f6db3f1b,S2,3.010299956639812,P3_CONTINUATION_B1_SELECTED,P2_OBJECTIVE_SELECTED_MATCHED,0.21369289462828678,0.21369289462828767,0.009878133765309998
task-v2-420d9636beee,v2-S5-b001-g-e0c69f84d376b633,S5,5.719569917615643,P3_CONTINUATION_B1_SELECTED,P2_OBJECTIVE_SELECTED_MATCHED,0.4031236010441428,0.4031236010441397,0.0013516759958627999
task-v2-4746dcc3bd93,v2-S5-b000-g-a87f1b9ac089cc45,S5,5.719569917615643,P3_CONTINUATION_B1_SELECTED,P2_OBJECTIVE_SELECTED_MATCHED,0.18434736122945639,0.18434736122947148,0.0007088449111597999
task-v2-4968f3a685c2,v2-S3-b000-g-8a16a856f5377a40,S3,3.9133899436317554,P3_CONTINUATION_B1_SELECTED,P2_OBJECTIVE_SELECTED_MATCHED,0.3499953745317075,0.3499953745317357,0.0009378954426679
