task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,optimizer_seed,feasible_state_fraction,dilution_score,p2_parameters,p2_embedded_p3_parameters,embedded_p2_objective,original_p3_objective,p3_optimization_gap_vs_embedded_p2,original_p3_worse_than_embedded_p2,comparison_tolerance,embedded_p2_p_feas,original_p3_p_feas,embedded_p2_p_opt,original_p3_p_opt,embedded_p2_G_feas,original_p3_G_feas
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D1,10,3301,0.0009765625,3.010299956639812,"[1.989718223424795, 1.8239627287977078, 2.2752762050858175, -0.21611021563015606]","[1.989718223424795, 1.8239627287977078, 0.0, 2.2752762050858175, -0.21611021563015606, 0.0]",1.6566276406834683,1.7079828469880065,0.05135520630453816,True,1e-10,0.005477042890237298,0.00023880866542,0.005477042890237298,0.00023880866542,0.7488460985034981,-0.6116499617913697
task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D2,10,1103,0.001953125,2.709269960975831,"[1.8872525720181654, 4.423457762907781, 2.278458800349386, 0.12049562539199202]","[1.8872525720181654, 4.423457762907781, 0.0, 2.278458800349386, 0.12049562539199202, 0.0]",1.7297229423839835,1.622348278007437,-0.10737466437654652,False,1e-10,0.008673660545237986,0.0003720006508744,0.004957855194538024,0.0002309703471334,0.6474723824530009,-0.7201863392741403
task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D2,10,2207,0.001953125,2.709269960975831,"[2.135855943816076, 6.043253439112003, 2.5173232462610784, -0.42044304575646113]","[2.135855943816076, 6.043253439112003, 0.0, 2.5173232462610784, -0.42044304575646113, 0.0]",1.564057493309508,1.677869052046442,0.11381155873693416,True,1e-10,0.013428410574730994,0.0173147143960702,0.008505523714043006,0.0091010012444031,0.8372945723434444,0.9476852932902065
task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D2,10,3301,0.001953125,2.709269960975831,"[1.7321811018954694, 1.8208516674860495, 2.2035211534336727, -0.206424357239407]","[1.7321811018954694, 1.8208516674860495, 0.0, 2.2035211534336727, -0.206424357239407, 0.0]",1.6086164208591873,1.5497861594203717,-0.058830261438815645,False,1e-10,0.012722108644870556,0.0396688631600812,0.007700085411230409,0.0236004535440767,0.8138290610409236,1.3077197155115368
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D3,10,1103,0.0029296875,2.533178701920149,"[1.3024465937729401, 4.403992215368902, 2.4101933504152044, 0.08757065220475269]","[1.3024465937729401, 4.403992215368902, 0.0, 2.4101933504152044, 0.08757065220475269, 0.0]",1.4826819988714406,1.481556340808822,-0.0011256580626186619,False,1e-10,0.014971390648167162,0.005974626108089,0.010255496341736208,0.0051503050915594,0.708440844465927,0.3094894342558894
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D3,10,2207,0.0029296875,2.533178701920149,"[6.289045021028471, 4.266169369375171, 2.5852374279898886, 0.1238655085588723]","[6.289045021028471, 4.266169369375171, 0.0, 2.5852374279898886, 0.1238655085588723, 0.0]",1.3145104902933211,1.3763874155761244,0.06187692528280331,True,1e-10,0.08198410596382215,0.0497323641392279,0.0556558061479468,0.0343568950720125,1.446908366971341,1.2298178068032242
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D3,10,3301,0.0029296875,2.533178701920149,"[3.707449088578744, 2.3916690587128415, 1.5878295487815681, 0.9990471066789114]","[3.707449088578744, 2.3916690587128415, 0.0, 1.5878295487815681, 0.9990471066789114, 0.0]",1.79086577526221,1.4390173276530491,-0.3518484476091608,False,1e-10,0.027560314094976238,0.0012562541913762,0.016935087894596083,0.001194257968625,0.9734628646817778,-0.3677437743293775
task-v2-f4789f22d2c1,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D4,10,1103,0.00390625,2.4082399653118496,"[1.251038109130302, 4.461620234289888, 2.493187229475474, 0.05415861378670805]","[1.251038109130302, 4.461620234289888, 0.0, 2.493187229475474, 0.05415861378670805, 0.0]",1.4475328873882962,1.4461835723589087,-0.00134931502938751,False,1e-10,0.013242948810660574,0.0049589867571743,0.007264567677466241,0.0036984600202052,0.5302246656425632,0.1036329138340937
task-v2-f4789f22d2c1,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D4,10,2207,0.00390625,2.4082399653118496,"[3.63284506636174, 4.04031944683832, 1.169727701730444, -1.0409076136041355]","[3.63284506636174, 4.04031944683832, 0.0, 1.169727701730444, -1.0409076136041355, 0.0]",1.6068369693945606,1.2968862023668164,-0.30995076702774416,False,1e-10,0.005490430072498375,0.0690417636399208,0.0029494702702015886,0.0414179945220214,0.14784632994361463,1.247351842012381
task-v2-f4789f22d2c1,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D4,10,3301,0.00390625,2.4082399653118496,"[3.132259562599636, 3.2757675391423544, 1.6595877722546832, 1.2674228986354614]","[3.132259562599636, 3.2757675391423544, 0.0, 1.6595877722546832, 1.2674228986354614, 0.0]",1.7251436737011883,1.5557881264804203,-0.16935554722076795,False,1e-10,0.0031960433456359664,0.0104007387112487,0.0014108225185536299,0.0058289647016906,-0.0871473739827233,0.4253041514207966
