task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,feasible_state_fraction,dilution_score,arm,source_p2_seed,depth,eval_budget,state_variant,parameters,objective,p_feas,p_opt,p_opt_given_feasible,G_feas,state_norm,expected_routing_component,expected_flow_penalty,expected_resource_penalty,expected_total_penalty,component_sum,component_sum_error,mass_valid_flow_resource_feasible,mass_flow_invalid_resource_feasible,mass_flow_valid_resource_violating,mass_both_flow_and_resource_violating,mass_flow_invalid,mass_resource_violating,mass_category_sum
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,7,0.015625,1.806179973983887,P3_NELDER_MEAD_B1,2207,3,120,terminal,"[6.105020075669154, 7.116102809071516, -0.0005356514427627267, 2.5339889096682082, -0.23322882984062487, 0.00033308197655157847]",1.3773227972257975,0.1994484644752041,0.10966944211684111,0.5498635570116183,1.1060106710723991,1.0,0.05795830939348226,0.9700307149341477,0.3493337728981676,1.3193644878323152,1.3773227972257975,0.0,0.1994484644752041,0.46283151773349335,0.06699176897935241,0.27072824881195,0.7335597665454432,0.33772001779130245,0.9999999999999999
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,7,0.015625,1.806179973983887,P3_RANDOM_ORIGINAL,1103,3,120,terminal,"[1.4056588241736698, 5.526459798398741, 3.6352104571955746, 0.9950104640599253, 3.2065394310809996, 1.777551034170013]",1.6156165692792386,0.0421490590487546,0.01684029957462469,0.39954153081199756,0.4309678577015876,0.9999999999999996,0.058607183932865986,1.244317888027608,0.3126914973187648,1.557009385346373,1.6156165692792386,0.0,0.0421490590487546,0.6638150922290338,0.012167039635500764,0.2818688090867104,0.9456839013157442,0.2940358487222111,0.9999999999999996
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,7,0.015625,1.806179973983887,P3_RANDOM_ORIGINAL,2207,3,120,terminal,"[5.044663890708744, 5.37391526890806, 3.435522602811747, 0.7516038539289883, 0.9446121059635761, 1.2893847024657568]",1.8041013009278049,0.11191293873467306,0.08230145526019576,0.7354060771768205,0.8550602740620825,0.9999999999999999,0.0782212530713539,1.1600323337569003,0.5658477140995507,1.7258800478564509,1.804101300927805,2.220446049250313e-16,0.11191293873467306,0.35983438984253624,0.005951056638320572,0.52230161478447,0.8821360046270063,0.5282526714227905,0.9999999999999999
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,7,0.015625,1.806179973983887,P3_RANDOM_ORIGINAL,3301,3,120,terminal,"[2.8657907601425494, 3.5119020132451206, 2.0921502511760246, -0.042249918172701906, 2.6199404398565123, 3.0278944565584114]",1.481547803454795,0.18257297607136114,0.10857328206254671,0.5946842977468328,1.0676164689147287,1.0000000000000004,0.06400048795133842,0.9916564132927278,0.425890902210729,1.4175473155034568,1.481547803454795,0.0,0.18257297607136114,0.4064283907343413,0.0630583000987428,0.3479403330955552,0.7543687238298965,0.410998633194298,1.0000000000000004
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D3,7,0.0234375,1.630088714928206,P2_RANDOM_ORIGINAL,1103,2,120,terminal,"[1.2230132147294046, 4.782995288064548, 2.701315695909157, 0.11815955664767501]",1.4606063228435135,0.13545437082420464,0.050656774255849905,0.37397666791862527,0.7618817382819428,0.9999999999999996,0.07634654222973342,1.1835405838993718,0.20071919671440852,1.3842597806137804,1.4606063228435135,0.0,0.1354543708242046,0.680631280534994,0.0,0.18391434864080097,0.8645456291757949,0.18391434864080097,0.9999999999999996
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D3,7,0.0234375,1.630088714928206,P2_RANDOM_ORIGINAL,2207,2,120,terminal,"[6.057428853187273, 4.377771129103387, 2.7001753060835285, 0.12927775915703282]",1.261482475324296,0.297342946902572,0.1153029515555255,0.3877776579422477,1.1033463562413153,1.0,0.07635692676444233,0.9211320982764402,0.26399345028341353,1.1851255485598537,1.2614824753242961,2.220446049250313e-16,0.297342946902572,0.4489693439694174,0.0,0.25368770912801064,0.7026570530974281,0.25368770912801064,1.0
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D3,7,0.0234375,1.630088714928206,P2_RANDOM_ORIGINAL,3301,2,120,terminal,"[1.9479617096463702, 0.6266568289030283, 1.576806729659442, 1.1946472781263702]",1.5752417685566071,0.10538072110989258,0.04117066564232041,0.3906849868619425,0.6528498810094969,0.9999999999999993,0.08137121206662751,1.180301161528254,0.31356939496172553,1.4938705564899795,1.575241768556607,-2.220446049250313e-16,0.10538072110989258,0.5995826820310811,0.0,0.2950365968590257,0.8946192788901071,0.2950365968590257,0.9999999999999994
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D3,7,0.0234375,1.630088714928206,P3_CONTINUATION_B1,1103,3,120,terminal,"[1.222382655752871, 4.804024094073824, -0.0030879796521699142, 2.6985770583842705, 0.12229434007616986, -0.0026221530556022983]",1.4604830995534934,0.13553264545647722,0.05050690008506228,0.37265486787300445,0.7621326303156719,1.0000000000000009,0.07627735384570236,1.1840873311324274,0.20011841457536367,1.384205745707791,1.4604830995534934,0.0,0.13553264545647722,0.6811188283033921,0.0,0.18334852624013143,0.8644673545435235,0.18334852624013143,1.0000000000000009
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D3,7,0.0234375,1.630088714928206,P3_CONTINUATION_B1,2207,3,120,terminal,"[6.105255901979322, 4.373888994771447, 0.0017303756358086244, 2.6998740366129894, 0.12657818951640518, -0.0032653094013129175]",1.2602882371218822,0.29706896390766346,0.11589937876522534,0.3901430066630919,1.1029459964602044,0.9999999999999996,0.07596936118811504,0.9210101173787983,0.2633087585549687,1.184318875933767,1.2602882371218822,0.0,0.29706896390766346,0.4497627513453514,0.0,0.2531682847469846,0.7029310360923361,0.2531682847469846,0.9999999999999994
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D3,7,0.0234375,1.630088714928206,P3_CONTINUATION_B1,3301,3,120,terminal,"[1.1540017419480708, 0.3537023611411845, 1.0496244305440023, 1.5308248640302606, 1.2212628288122238, -0.2797627609407787]",1.1558830707093692,0.22042122327183586,0.08801585722296795,0.3993075436044643,0.9733421231936842,0.999999999999999,0.06134426353879103,1.0013984861509568,0.09314032101962116,1.094538807170578,1.155883070709369,-2.220446049250313e-16,0.22042122327183586,0.6940043784763106,0.0,0.08557439825185251,0.779578776728163,0.08557439825185251,0.999999999999999
