task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,feasible_state_fraction,dilution_score,in_phase1_pilot,max_feasible_energy,min_infeasible_energy,feasible_infeasible_energy_gap,complete_energy_separation
task-v2-cf1a83d8dbf9,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D6,16,9.1552734375e-05,4.038328680240055,True,0.12790697674418605,1.0454545454545454,0.9175475687103594,True
task-v2-e243a3cd3e64,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D7,16,0.0001220703125,3.9133899436317554,True,0.13372093023255813,1.0454545454545454,0.9117336152219873,True
task-v2-00b7b12999ba,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D1,16,1.52587890625e-05,4.816479930623699,False,0.13372093023255813,1.0526315789473684,0.9189106487148102,True
task-v2-26d674ac9727,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D2,16,3.0517578125e-05,4.515449934959718,False,0.16279069767441862,1.0526315789473684,0.8898408812729497,True
task-v2-d4d85eef1fda,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D3,16,4.57763671875e-05,4.339358675904037,False,0.16279069767441862,1.0526315789473684,0.8898408812729497,True
task-v2-45bf90adfb6d,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D4,16,6.103515625e-05,4.214419939295737,False,0.16279069767441862,1.0526315789473684,0.8898408812729497,True
task-v2-980575647e27,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D5,16,7.62939453125e-05,4.11750992628768,False,0.16279069767441862,1.0526315789473684,0.8898408812729497,True
task-v2-36c69f7819b3,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D6,16,9.1552734375e-05,4.038328680240055,False,0.16279069767441862,1.0526315789473684,0.8898408812729497,True
task-v2-05a98ad7eaff,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D7,16,0.0001220703125,3.9133899436317554,False,0.1686046511627907,1.0526315789473684,0.8840269277845777,True
task-v2-9e1a55247e55,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D1,16,1.52587890625e-05,4.816479930623699,False,0.046511627906976744,1.0555555555555556,1.0090439276485788,True
task-v2-eb5609efbad0,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D2,16,3.0517578125e-05,4.515449934959718,False,0.09883720930232558,1.0555555555555556,0.95671834625323,True
task-v2-41fa72c23442,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D3,16,4.57763671875e-05,4.339358675904037,False,0.09883720930232558,1.0555555555555556,0.95671834625323,True
task-v2-e6a20043db41,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D4,16,6.103515625e-05,4.214419939295737,False,0.11046511627906977,1.0555555555555556,0.9450904392764858,True
task-v2-db534d0b262a,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D5,16,9.1552734375e-05,4.038328680240055,False,0.14534883720930233,1.0555555555555556,0.9102067183462532,True
task-v2-6372d6a2314d,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D6,16,0.0001220703125,3.9133899436317554,False,0.14534883720930233,1.0555555555555556,0.9102067183462532,True
task-v2-cb6317a18cf3,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D7,16,0.000152587890625,3.816479930623699,False,0.14534883720930233,1.0555555555555556,0.9102067183462532,True
task-v2-9bb6197d70f9,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D1,16,1.52587890625e-05,4.816479930623699,False,0.13953488372093023,1.0526315789473684,0.9130966952264381,True
task-v2-d50991f4f8ba,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D2,16,3.0517578125e-05,4.515449934959718,False,0.13953488372093023,1.0524097011539548,0.9128748174330246,True
task-v2-51e0b98b7ef5,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D3,16,4.57763671875e-05,4.339358675904037,False,0.13953488372093023,1.0526315789473684,0.9130966952264381,True
task-v2-41f38ee1e3c2,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D4,16,6.103515625e-05,4.214419939295737,False,0.13953488372093023,1.0526315789473684,0.9130966952264381,True
task-v2-7a2c20a84cd2,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D5,16,7.62939453125e-05,4.11750992628768,False,0.13953488372093023,1.0526315789473684,0.9130966952264381,True
task-v2-c4754bf838d1,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D6,16,9.1552734375e-05,4.038328680240055,False,0.1511627906976744,1.0526315789473684,0.9014687882496939,True
task-v2-aefa943bb0f9,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D7,16,0.0001220703125,3.9133899436317554,False,0.1511627906976744,1.0526315789473684,0.9014687882496939,True
task-v2-4746dcc3bd93,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D1,19,1.9073486328125e-06,5.719569917615643,True,0.029069767441860465,1.0357142857142858,1.0066445182724253,True
task-v2-7d4ec5aed494,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D2,19,3.814697265625e-06,5.418539921951662,True,0.12209302325581395,1.0357142857142858,0.9136212624584719,True
task-v2-7133b996bac7,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D3,19,5.7220458984375e-06,5.24244866289598,True,0.12209302325581395,1.0357142857142858,0.9136212624584719,True
task-v2-b9b3757d64c0,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D4,19,7.62939453125e-06,5.11750992628768,True,0.12209302325581395,1.0357142857142858,0.9136212624584719,True
task-v2-11173062a501,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D5,19,1.1444091796875e-05,4.941418667231999,True,0.13372093023255813,1.0357142857142858,0.9019933554817277,True
task-v2-c95d7e1ff6e7,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D6,19,1.52587890625e-05,4.816479930623699,True,0.13372093023255813,1.0357142857142858,0.9019933554817277,True
task-v2-f5c9b9bdeb27,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D7,19,1.9073486328125e-05,4.719569917615643,True,0.13372093023255813,1.0357142857142858,0.9019933554817277,True
task-v2-420d9636beee,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D1,19,1.9073486328125e-06,5.719569917615643,True,0.06395348837209303,1.0416666666666667,0.9777131782945737,True
task-v2-e449b07a1126,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D2,19,3.814697265625e-06,5.418539921951662,True,0.0872093023255814,1.0416666666666667,0.9544573643410853,True
task-v2-6e79cb6720c5,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D3,19,5.7220458984375e-06,5.24244866289598,True,0.0872093023255814,1.0416666666666667,0.9544573643410853,True
task-v2-526a936f38d9,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D4,19,7.62939453125e-06,5.11750992628768,True,0.0872093023255814,1.0416666666666667,0.9544573643410853,True
