slice_point_id,task_id,base_graph_id,base_instance_id,size_stratum,stress_level,representative_role,dilution_score,source_p2_seed,gamma3_index,beta3_index,gamma3,beta3,objective,p_feas,p_opt,G_feas,state_norm,embedded_point,original_p3_projected_gamma3,original_p3_projected_beta3
task-v2-3f363bac5736-g32-b15,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,15,1.884955592153876,-0.3926990816987241,1.954121560920888,0.0238267521193947,0.0238267521193947,1.3873648033187416,0.9999999999999988,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b16,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,16,1.884955592153876,-0.3141592653589793,1.9686053725388304,0.0266689137755958,0.0266689137755958,1.4363052838830557,0.999999999999998,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b17,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,17,1.884955592153876,-0.2356194490192344,1.952273474629057,0.0266385361877843,0.0266385361877843,1.435810312910059,0.999999999999998,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b18,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,18,1.884955592153876,-0.1570796326794896,1.8998023850579764,0.0236637417996536,0.0236637417996536,1.3843833746348622,1.0,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b19,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,19,1.884955592153876,-0.0785398163397448,1.8562825978547024,0.0193027133110338,0.0193027133110338,1.2959183171079922,0.9999999999999988,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b20,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,20,1.884955592153876,0.0,1.8763979305029184,0.0155399771465292,0.0155399771465292,1.2017503324210823,0.9999999999999988,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b21,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,21,1.884955592153876,0.0785398163397448,1.973685504017392,0.0133850775396798,0.0133850775396798,1.1369208480355717,0.9999999999999988,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b22,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,22,1.884955592153876,0.1570796326794896,2.113803711039437,0.0126433661338277,0.0126433661338277,1.112162671308038,1.0,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b23,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,23,1.884955592153876,0.2356194490192344,2.2510973972362294,0.0126066338935833,0.0126066338935833,1.110899097408462,0.9999999999999982,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b24,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,24,1.884955592153876,0.3141592653589793,2.363186752510852,0.0125806369584643,0.0125806369584643,1.1100025866634744,0.999999999999998,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b25,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,25,1.884955592153876,0.3926990816987241,2.453079849765176,0.0119656534363293,0.0119656534363293,1.0882363767679863,0.9999999999999988,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b26,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,26,1.884955592153876,0.4712388980384689,2.5307263780994584,0.0103858282399558,0.0103858282399558,1.0267410926288512,0.9999999999999992,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b27,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,27,1.884955592153876,0.5497787143782138,2.6006113008642755,0.0079775120365851,0.0079775120365851,0.912167424775627,0.9999999999999976,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b28,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,28,1.884955592153876,0.6283185307179586,2.663058710306494,0.0053735308209392,0.0053735308209392,0.7405597008410987,0.9999999999999996,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b29,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,29,1.884955592153876,0.7068583470577035,2.71903298414762,0.0032415656484197,0.0032415656484197,0.5210547780307657,0.9999999999999988,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b30,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,30,1.884955592153876,0.7853981633974483,2.770509119832724,0.0018575608726995,0.0018575608726995,0.2792430112362644,0.9999999999999988,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b31,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,31,1.884955592153876,0.8639379797371931,2.8181651933522605,0.0011026060550514,0.0011026060550514,0.0527203297533078,0.9999999999999988,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b32,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,32,1.884955592153876,0.942477796076938,2.860317797466202,0.0007156012415975,0.0007156012415975,-0.135028957945431,0.9999999999999996,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b33,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,33,1.884955592153876,1.0210176124166828,2.8937149032326386,0.0004771918149581,0.0004771918149581,-0.3110070575425224,0.9999999999999988,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b34,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,34,1.884955592153876,1.0995574287564276,2.915210476029372,0.0002710421844111,0.0002710421844111,-0.5566631545844922,0.9999999999999978,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b35,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,35,1.884955592153876,1.1780972450961724,2.9235924579799497,9.613032124177636e-05,9.613032124177636e-05,-1.0068396497498946,0.9999999999999992,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b36,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,36,1.884955592153876,1.2566370614359172,2.9205900078438027,9.52962922723215e-06,9.52962922723215e-06,-2.010624039647318,0.9999999999999984,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b37,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,37,1.884955592153876,1.335176877775662,2.910183457610401,1.1592251543318196e-05,1.1592251543318196e-05,-1.9255322469245209,0.9999999999999984,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b38,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,38,1.884955592153876,1.413716694115407,2.89645168974106,2.2247341548975347e-05,2.2247341548975347e-05,-1.6424219210584876,1.0,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b39,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,39,1.884955592153876,1.4922565104551515,2.880912883661649,8.51365623085176e-06,8.51365623085176e-06,-2.0595839333492663,0.9999999999999988,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g32-b40,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,32,40,1.884955592153876,1.5707963267948966,2.860696430405572,7.232365233263019e-05,7.232365233263019e-05,-1.1304196935386834,0.999999999999999,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g33-b00,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,33,0,2.042035224833365,-1.5707963267948966,2.8606964304055724,7.232365233263037e-05,7.232365233263037e-05,-1.1304196935386823,0.9999999999999992,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g33-b01,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,33,1,2.042035224833365,-1.4922565104551515,2.8305033658699434,0.0003097988186578,0.0003097988186578,-0.4986202860097823,0.9999999999999988,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g33-b02,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,33,2,2.042035224833365,-1.413716694115407,2.786069152378184,0.0006198002343022,0.0006198002343022,-0.1974483072811631,1.0,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g33-b03,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,33,3,2.042035224833365,-1.335176877775662,2.731522496083808,0.0007769848379575,0.0007769848379575,-0.0992874992769342,0.9999999999999984,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g33-b04,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,33,4,2.042035224833365,-1.2566370614359172,2.675779618258292,0.0006814797784895,0.0006814797784895,-0.1562470697935932,0.9999999999999984,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g33-b05,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,33,5,2.042035224833365,-1.1780972450961724,2.621976855519054,0.0004625219396469,0.0004625219396469,-0.3245677051141099,0.9999999999999992,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g33-b06,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,33,6,2.042035224833365,-1.0995574287564276,2.561168044275594,0.0003137613252936,0.0003137613252936,-0.4931006326199725,0.999999999999998,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g33-b07,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,33,7,2.042035224833365,-1.0210176124166828,2.481223669759792,0.0003454855838294,0.0003454855838294,-0.4512701131953761,0.9999999999999988,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g33-b08,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,33,8,2.042035224833365,-0.942477796076938,2.3830152295172016,0.0007055149373356,0.0007055149373356,-0.1411938301829498,0.9999999999999996,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g33-b09,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,33,9,2.042035224833365,-0.8639379797371931,2.282843518716338,0.0017392301650164,0.0017392301650164,0.25065701580301,0.9999999999999992,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g33-b10,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,33,10,2.042035224833365,-0.7853981633974483,2.195312532801357,0.003817997000275,0.003817997000275,0.5921355394809894,0.9999999999999988,False,3.8763954380906993,1.7393286241522357
task-v2-3f363bac5736-g33-b11,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,most_diluted,3.010299956639812,2207,33,11,2.042035224833365,-0.7068583470577035,2.118480843216642,0.0070064968600295,0.0070064968600295,0.8558008883536964,0.9999999999999988,False,3.8763954380906993,1.7393286241522357
