split,task_id,graph_id,size_stratum,m,alpha,seed_count,optimized_objective,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas,tail_feasible_fraction,fully_feasible_tail_fraction,median_nfev,median_wall_time_s
discovery,task-v2-a0f813383468,g-60667963f6db3f1b,S2,10,0.05,3,0.054652398935066925,1.6039790305344934,0.11837085620872063,0.04666489485973742,0.3966925738352656,1.6064234909140682,1.0,1.0,120.0,0.306797843426466
discovery,task-v2-a0f813383468,g-60667963f6db3f1b,S2,10,0.1,3,0.0847547593840808,1.6294075824618877,0.10448146159386508,0.04114787661208852,0.39833665282598324,1.5522179412503683,1.0,0.6666666666666666,120.0,0.3084117043763399
discovery,task-v2-a0f813383468,g-60667963f6db3f1b,S2,10,0.25,3,0.6744620415940272,1.5553312206352017,0.11526103523787393,0.04298575849201662,0.37294267228559314,1.59486121787759,0.4610441409514958,0.0,120.0,0.286958709359169
discovery,task-v2-a0f813383468,g-60667963f6db3f1b,S2,10,0.5,3,0.978888263932296,1.5654692076795684,0.09883879626468976,0.03721231496643805,0.3764950239456951,1.5281061495082824,0.1976775925293795,0.0,120.0,0.29325434658676386
discovery,task-v2-a0f813383468,g-60667963f6db3f1b,S2,10,1.0,3,1.4554226123359315,1.455422612335929,0.07843293701591332,0.02663701600988722,0.33961517983806744,1.427677179915351,0.07843293701591332,0.0,120.0,0.3011684510856867
discovery,task-v2-a2561503b5d0,g-bd62d2d752385cc7,S4,16,0.02,3,0.3399594315259848,1.7242272734896877,0.014937587939458982,0.0062322863476725115,0.4172217343878771,2.689730410005695,0.7468793969729489,0.0,120.0,5.271752120926976
discovery,task-v2-a2561503b5d0,g-bd62d2d752385cc7,S4,16,0.05,3,0.8075254702207814,1.7926063705207538,0.013504501299210565,0.0074075509982118514,0.5359297693918823,2.645928485941539,0.2700900259842113,0.0,120.0,5.256982972845435
discovery,task-v2-a2561503b5d0,g-bd62d2d752385cc7,S4,16,0.1,3,0.9458028695394111,1.7111439101829757,0.013493687525023858,0.006840621934344065,0.4441494808133981,2.645580583884882,0.13493687525023856,0.0,120.0,5.33409910928458
discovery,task-v2-a2561503b5d0,g-bd62d2d752385cc7,S4,16,0.25,3,1.050480896253593,1.5613029310422954,0.012820197418686096,0.0055616124388547725,0.3740003621189351,2.623344647910524,0.05128078967474439,0.0,120.0,5.447208452038467
discovery,task-v2-a2561503b5d0,g-bd62d2d752385cc7,S4,16,0.5,3,1.1086567669295062,1.5216102308835426,0.00896394935226868,0.0036655531790553775,0.31000310677637954,2.4679493289971757,0.01792789870453736,0.0,120.0,5.308548771776259
discovery,task-v2-a2561503b5d0,g-bd62d2d752385cc7,S4,16,1.0,3,1.6047168556574574,1.6047168556574434,0.005784452817006732,0.002374319845640995,0.36643762337847496,2.2777122179028058,0.005784452817006732,0.0,120.0,5.280032753013074
