run_id,split,result_label,task_id,graph_id,size_stratum,m,dilution_score,alpha,seed,optimizer,depth,nfev_budget,actual_nfev,scipy_reported_nfev,nit,termination_reason,wall_time_s,optimized_objective,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas,tail_feasible_fraction,tail_fully_feasible,alpha1_minus_mean_endpoint_error
a2-d302c2a954d067fd65bf,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-f5c9b9bdeb27,g-a87f1b9ac089cc45,S5,19,4.719569917615643,0.05,1103,COBYLA,3,120,120,120,92,EVALUATION_BUDGET_EXHAUSTED,119.29910085722804,1.053921345749193,1.9319024261490612,0.002006613507417138,0.0004634596975909913,0.2309661007851706,2.022033648967158,0.04013227014834275,False,-0.8779810803998682
a2-d31f999e48b3203d65e9,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-3f363bac5736,g-60667963f6db3f1b,S2,10,3.010299956639812,0.05,3301,COBYLA,3,120,120,120,90,EVALUATION_BUDGET_EXHAUSTED,0.3302428936585784,0.8378040815963961,2.115167978670001,0.014433609430353706,0.014433609430353706,1.0,1.1696749058669726,0.2886721886070741,False,-1.277363897073605
a2-d33500ae8d3637676247,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-5f165c277bb9,g-e0c69f84d376b633,S5,19,4.816479930623699,0.25,1103,COBYLA,3,120,120,120,91,EVALUATION_BUDGET_EXHAUSTED,129.53012689668685,1.015808352183776,1.5991537598164771,0.026572401301481995,0.004445247990751204,0.1672881551169139,3.2409107332409897,0.106289605205928,False,-0.5833454076327012
a2-d3393581d77d693fc10d,heldout,POST_HOC_SENSITIVITY,task-v2-6dd269836f23,g-c45ecbe0242c6377,S1,7,2.1072099696478683,0.25,3301,COBYLA,3,120,120,120,88,EVALUATION_BUDGET_EXHAUSTED,0.24742447026073933,0.8019441574314787,1.7871826899389593,0.0908952749079588,0.0908952749079588,1.0,1.0657512771301585,0.36358109963183527,False,-0.9852385325074806
a2-d3b7efbefc9b3fa44d33,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-4746dcc3bd93,g-a87f1b9ac089cc45,S5,19,5.719569917615643,0.02,3301,COBYLA,3,120,120,120,94,EVALUATION_BUDGET_EXHAUSTED,123.30649711936712,0.3695925277340315,1.7047154395244777,0.013234498293865117,0.013234498293865117,1.0,3.8412773999106733,0.6617249146932559,False,-1.3351229117904462
a2-d3c9d239681c8dbddca0,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-69173fedcdae,g-8a16a856f5377a40,S3,13,3.0682919036174985,0.05,1103,COBYLA,3,120,120,120,93,EVALUATION_BUDGET_EXHAUSTED,0.7197568928822875,0.05390222415704596,1.1978239813461284,0.0980924397514284,0.035504334173877786,0.36194771242154555,2.0599274400416627,1.0,True,-1.1439217571890825
a2-d3f34f49866cb90c679a,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-73f419868dc6,g-553bb3c5ba0f2136,S1,7,1.630088714928206,0.5,3301,COBYLA,3,120,120,120,93,EVALUATION_BUDGET_EXHAUSTED,0.2612351505085826,0.930329725296313,1.579171467437091,0.13604074133622038,0.044460325591376415,0.326816254856287,0.7637577048262949,0.27208148267244076,False,-0.6488417421407779
a2-d429822febc4087e4e3f,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-0b71cbcaebc2,g-3ff7063ef9ea5cfb,S4,16,4.339358675904037,0.25,3301,COBYLA,3,120,120,120,93,EVALUATION_BUDGET_EXHAUSTED,5.2362917996943,1.0530285128796557,1.65114377400052,0.014823806802779903,0.005538544922488503,0.37362500713715874,2.5103184221343757,0.059295227211119614,False,-0.5981152611208642
a2-d45ac90c739fd453e5af,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-eb1005d46905,g-8a16a856f5377a40,S3,13,3.311329952303793,0.5,1103,COBYLA,3,120,120,120,91,EVALUATION_BUDGET_EXHAUSTED,0.6347705377265811,1.1851920918634842,1.8392714424041028,0.01027689635365705,0.0020166757207348866,0.19623392621034358,1.3231919288313423,0.020553792707314104,False,-0.6540793505406186
a2-d47402ac5ead0bc7ce03,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-f0ef0f25a74e,g-8a16a856f5377a40,S3,13,3.135238693248112,0.25,2207,COBYLA,3,120,120,120,89,EVALUATION_BUDGET_EXHAUSTED,0.6169632524251938,0.7128249229972009,1.3426085400182157,0.09783684823251886,0.03696595971782378,0.377832691727462,2.1257411469117393,0.39134739293007537,False,-0.6297836170210148
a2-d4944d65ba112773cd47,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,S2,10,3.010299956639812,0.1,1103,COBYLA,3,120,120,120,91,EVALUATION_BUDGET_EXHAUSTED,0.3813545648008585,0.9877273504137792,1.9899599592996493,0.013895369812361204,0.013895369812361204,1.0,1.1531700662512654,0.13895369812361202,False,-1.00223260888587
a2-d4959ea09e9666739417,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-f1a738d52e35,g-60667963f6db3f1b,S2,10,2.709269960975831,1.0,2207,COBYLA,3,120,120,120,91,EVALUATION_BUDGET_EXHAUSTED,0.28573905024677515,1.489989193083548,1.4899891930835438,0.044012800961665974,0.021954026488640425,0.4988100281952476,1.3528489687909395,0.044012800961665974,False,4.218847493575595e-15
a2-d4b05797de4979644b7c,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-89b7591232ff,g-e0c69f84d376b633,S5,19,4.941418667231999,0.02,2207,COBYLA,3,120,120,120,92,EVALUATION_BUDGET_EXHAUSTED,108.54493831563741,0.05635955399890395,1.633638787340936,0.030036208215719073,0.0065769215944497805,0.21896644034475135,3.4190637734959313,1.0,True,-1.577279233342032
a2-d500cd03d14900cd74c9,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,S1,7,1.630088714928206,1.0,2207,COBYLA,3,120,120,120,84,EVALUATION_BUDGET_EXHAUSTED,0.24600720778107643,1.2601879118413466,1.2601879118413462,0.2974192286163961,0.11606758843865635,0.3902491072235193,1.1034577578365383,0.297419228616396,False,4.440892098500626e-16
a2-d511b26ef5584445d748,heldout,POST_HOC_SENSITIVITY,task-v2-6dd269836f23,g-c45ecbe0242c6377,S1,7,2.1072099696478683,0.25,2207,COBYLA,3,120,120,120,90,EVALUATION_BUDGET_EXHAUSTED,0.24197054374963045,0.6797896408271508,1.8070465975077834,0.11620487368997402,0.11620487368997402,1.0,1.172434312609888,0.4648194947598961,False,-1.1272569566806325
a2-d52e50c646b97bf145fa,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-095187356858,g-3ff7063ef9ea5cfb,S4,16,4.515449934959718,0.02,3301,COBYLA,3,120,120,120,94,EVALUATION_BUDGET_EXHAUSTED,5.747918277978897,0.6315935884441024,1.8493268064917254,0.00886973500752333,0.0055845234298985795,0.6296155888717954,2.463360579989924,0.44348675037616647,False,-1.217733218047623
