split,graph_id,alpha,n_tasks,optimized_objective,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas,tail_feasible_fraction
discovery,g-bd62d2d752385cc7,0.05,7,0.7546211967070764,1.6470419616590253,0.015927958280847667,0.006097444696032582,0.4358588507121583,2.446776197635034,0.31855916561695335
discovery,g-bd62d2d752385cc7,0.1,7,0.9022422054523237,1.5725720022888277,0.017223375469324374,0.0061208276558221975,0.41804276149488695,2.4745182280715103,0.17223375469324373
discovery,g-bd62d2d752385cc7,0.25,7,1.0424420825136775,1.6157638935280347,0.013716558028299533,0.004359590089721177,0.3822702786239867,2.341033286794924,0.05486623211319813
discovery,g-bd62d2d752385cc7,0.5,7,1.0956006528163618,1.5303410740730783,0.01269811291564732,0.003924704364116904,0.3857788337456876,2.3320064457146374,0.02539622583129464
discovery,g-bd62d2d752385cc7,1.0,7,1.4966372175850644,1.496637217585055,0.010541635241366101,0.0037009996773501976,0.4051028252092355,2.255172545384023,0.0105416352413661
discovery,g-e0c69f84d376b633,0.02,7,0.3791371003729092,1.7034605667051,0.01619009111369909,0.0045844302250881725,0.39404254556619805,3.261885854202202,0.680244489635962
discovery,g-e0c69f84d376b633,0.05,7,0.7242128926716637,1.693450698582287,0.016831582223587115,0.0051767625540164435,0.3951212007219048,3.319330172301354,0.3366316444717423
discovery,g-e0c69f84d376b633,0.1,7,0.8883659840911792,1.6729223877502957,0.017527227707044096,0.0052636734103393605,0.397601629815692,3.320569934495859,0.17527227707044096
discovery,g-e0c69f84d376b633,0.25,7,1.022193671221395,1.5452495556360881,0.014927684370155079,0.004172027964510788,0.4020202030812146,3.217088053472007,0.0597107374806203
discovery,g-e0c69f84d376b633,0.5,7,1.0830369069374262,1.451348007299636,0.012323494321117928,0.0030557067403482407,0.4045721780601473,3.083278702392114,0.024646988642235853
discovery,g-e0c69f84d376b633,1.0,7,1.4380425005268527,1.438042500526862,0.009869366365479037,0.002781905737294521,0.4009898571213534,3.050154997019884,0.009869366365479039
heldout,g-0780828b282bb310,0.05,1,0.07331480902335175,1.5451436465670056,0.06148598028214913,0.03474632119958751,0.5347771827717815,1.4980460624390002,1.0
