task_id,base_graph_id,split,size_m,dilution_score,p_feas,cvar_tail_fully_feasible,cvar_tail_feasible_mass,cvar_cutoff_energy
task-p3-742ad01cf4b5d731,g-c0fc2d5e7eacaffa,development,16,4.816479930623699,0.0249870276549537,False,0.0249870276549537,1.0756052992233895
task-p3-caa0c0ea626868d3,g-c0fc2d5e7eacaffa,development,16,4.339358675904037,0.0246460156554139,False,0.024646015655414,1.0756052992233895
task-p3-e0c8183c0c2a1a94,g-c0fc2d5e7eacaffa,development,16,4.515449934959718,0.0190894813304835,False,0.0190894813304834,1.0756052992233895
task-p3-e9bcaf1b39a948a8,g-c0fc2d5e7eacaffa,development,16,3.971381890609442,0.0417399050233687,False,0.0417399050233687,1.0756052992233895
task-p3-0aba913814f5b408,g-5017fd274a1c10ec,development,16,4.11750992628768,0.0218744464828794,False,0.0218744464828795,1.0957565605806812
task-p3-1945829fa0700d95,g-5017fd274a1c10ec,development,16,4.816479930623699,0.0072444856627841,False,0.0072444856627841,1.0907314349525403
task-p3-40545d1e72d819c2,g-5017fd274a1c10ec,development,16,3.816479930623699,0.0242958950919555,False,0.0242958950919555,1.120882188721385
task-p3-82aca830655428f2,g-5017fd274a1c10ec,development,16,4.339358675904037,0.0120267850843689,False,0.0120267850843688,1.0957565605806812
task-p3-b12e7fb7d3bcb7e3,g-5017fd274a1c10ec,development,16,4.214419939295737,0.0268567109989319,False,0.0268567109989318,1.1108319374651034
task-p3-c0d5d0b8db783fa9,g-5017fd274a1c10ec,development,16,4.038328680240055,0.0254676275898896,False,0.0254676275898896,1.0957565605806812
task-p3-354137ea30cee634,g-e7e26759e1ed20ef,development,16,3.8622374211843744,0.0649719778867761,False,0.0649719778867762,1.0906806761078118
task-p3-80b76edb78728176,g-e7e26759e1ed20ef,development,16,4.038328680240055,0.0753805620115353,False,0.0753805620115353,1.065555047967108
task-p3-b41b79df32f0fdb5,g-e7e26759e1ed20ef,development,16,4.339358675904037,0.0262270724752688,False,0.0262270724752688,1.050479671082686
task-p3-b6a037038c8281f2,g-e7e26759e1ed20ef,development,16,4.816479930623699,0.0193510963995094,False,0.0193510963995094,1.0605299223389677
task-p3-bc9d9c5bdb69b31d,g-e7e26759e1ed20ef,development,16,4.214419939295737,0.0549816857869947,False,0.0549816857869948,1.065555047967108
task-p3-eba2c2d5b53b4e31,g-e7e26759e1ed20ef,development,16,4.515449934959718,0.0385355138387026,False,0.0385355138387026,1.0605299223389677
task-p3-0bf148a8545bb3da,g-6561c85f253791c6,development,18,4.941418667231999,0.0219742290077438,False,0.0219742290077438,1.0263157894736843
task-p3-3da056542192ad36,g-6561c85f253791c6,development,18,4.816479930623699,0.0346407935161279,False,0.0346407935161279,1.0263157894736843
task-p3-43c6ab33060f5bcf,g-6561c85f253791c6,development,18,4.377147236793436,0.0856145737381167,False,0.085614573738117,1.0263157894736843
task-p3-b36a74d436a6d25a,g-6561c85f253791c6,development,18,4.573441881937405,0.0433218847223728,False,0.0433218847223729,1.0263157894736843
task-p3-c2b256f487cef0e9,g-6561c85f253791c6,development,18,5.11750992628768,0.0436114449753333,False,0.0436114449753334,1.0464162919862472
task-p3-e5b1288aa9c9bfcf,g-6561c85f253791c6,development,18,5.418539921951662,0.0098306375287698,False,0.0098306375287698,1.0263157894736843
task-p3-1e07ffd5b6000802,g-3973175f1911b646,development,18,5.418539921951662,0.0101559327830485,False,0.0101559327830486,1.0626818302036498
task-p3-8464e365f66913a8,g-3973175f1911b646,development,18,4.941418667231999,0.016554483721763,False,0.016554483721763,1.0626818302036498
task-p3-b1e8ffefbffe8436,g-3973175f1911b646,development,18,4.573441881937405,0.0228229559598654,False,0.0228229559598654,1.0727320814599313
task-p3-ba8f8a726d2a95e8,g-3973175f1911b646,development,18,5.11750992628768,0.0157666714802762,False,0.0157666714802762,1.0626818302036498
