task_id,base_graph_id,base_instance_id,split,size_m,target_n_edges,actual_n_edges,n_nodes,n_edges,state_space_size,n_candidate_routes,n_feasible_routes,route_feasible_fraction,n_feasible_states,feasible_state_fraction,phi_state,dilution_score,D,log10_n_feasible,m_log10_2,log10_phi_reconstructed,identity_error,budget,n_optimal_states,optimal_cost,optimal_state_ids,raw_energy_min,raw_energy_max,raw_energy_span,normalized_energy_min,normalized_energy_max,normalized_energy_span,min_infeasible_energy_raw,max_feasible_energy_raw,penalty_separation_raw,strict_energy_separation,penalty_ground_state_valid,penalty_ground_state_resource_feasible,penalty_ground_state_exact_original_optimal,penalty_contract_pass,route_enumeration_feasible_count,edge_bit_validator_feasible_count,feasible_count_agreement,flow_scale,resource_scale,global_penalty_coefficient,global_normalization_factor,path_redundancy,average_out_degree,maximum_out_degree,bottleneck_score,source_target_hop_min,source_target_hop_max,graph_density
task-p3-37baef352149cb65,g-0510569b7dbe24ff,phase3-m18-b03-g-0510569b7dbe24ff,development,18,18,18,9,18,262144,11,1,0.09090909090909091,1,3.814697265625e-06,3.814697265625e-06,5.418539921951662,5.418539921951662,0.0,5.418539921951662,-5.418539921951662,0.0,819.0,1,13.0,[67586],13.0,849.3845104077541,836.3845104077541,0.06532663316582915,4.2682638713957495,4.202937238229921,205.21875,13.0,192.21875,True,True,True,True,True,1,1,True,64.0,9332.0,199.0,199.0,1.5714285714285714,2.0,5,0.45454545454545453,2,3,0.5
task-p3-3ab446ca7d78a781,g-3e6704b429f1ca32,phase3-m20-b00-g-3e6704b429f1ca32,extrapolation_holdout,20,20,20,10,20,1048576,12,4,0.3333333333333333,4,3.814697265625e-06,3.814697265625e-06,5.418539921951662,5.418539921951662,0.6020599913279624,6.020599913279624,-5.418539921951662,0.0,833.0,2,9.0,"[8196, 524320]",9.0,855.0071199194347,846.0071199194347,0.04522613065326633,4.296518190549923,4.251292059896657,204.68571428571425,14.0,190.68571428571425,True,True,True,True,True,4,4,True,70.0,9827.0,199.0,199.0,1.5,2.0,6,0.3333333333333333,2,3,0.4444444444444444
task-p3-3bf9aa998655c1d6,g-3cf4bd3967c31b19,phase3-m14-b00-g-3cf4bd3967c31b19,development,14,14,14,8,14,16384,8,8,1.0,8,0.00048828125,0.00048828125,3.311329952303793,3.311329952303793,0.9030899869919435,4.214419939295737,-3.311329952303793,0.0,2352.0,1,4.0,[2056],4.0,748.2538762173558,744.2538762173558,0.020100502512562814,3.760069729735456,3.7399692272228933,209.4736842105263,18.0,191.4736842105263,True,True,True,True,True,8,8,True,38.0,8618.0,199.0,199.0,1.3333333333333333,1.75,4,0.5,2,3,0.5
task-p3-3c075f282cfb3fd5,g-22d56a3beb2cd856,phase3-m14-b02-g-22d56a3beb2cd856,development,14,14,14,9,14,16384,8,5,0.625,5,0.00030517578125,0.00030517578125,3.515449934959718,3.515449934959718,0.6989700043360189,4.214419939295737,-3.515449934959718,0.0,1921.0,1,10.0,[2114],10.0,679.53522249911,669.53522249911,0.05025125628140704,3.4147498618045726,3.3644986055231656,210.0071721944517,21.0,189.0071721944517,True,True,True,True,True,5,5,True,30.0,5830.0,199.0,199.0,1.1428571428571428,1.5555555555555556,3,0.625,3,4,0.3888888888888889
task-p3-3c5e82ecf78492d7,g-b4c9d2e42a3dc98f,phase3-m18-b04-g-b4c9d2e42a3dc98f,interpolation_holdout,18,18,18,10,18,262144,11,1,0.09090909090909091,1,3.814697265625e-06,3.814697265625e-06,5.418539921951662,5.418539921951662,0.0,5.418539921951662,-5.418539921951662,0.0,389.0,1,15.0,[163856],15.0,855.7031953421653,840.7031953421653,0.07537688442211055,4.300016056995806,4.224639172573696,208.04545454545453,15.0,193.04545454545453,True,True,True,True,True,1,1,True,44.0,9518.0,199.0,199.0,1.375,1.8,5,0.45454545454545453,3,4,0.4
task-p3-3d17acd5c2e5a10b,g-c0fc2d5e7eacaffa,phase3-m16-b01-g-c0fc2d5e7eacaffa,development,16,16,16,9,16,65536,11,4,0.36363636363636365,4,6.103515625e-05,6.103515625e-05,4.214419939295737,4.214419939295737,0.6020599913279624,4.816479930623699,-4.214419939295737,0.0,1166.0,1,13.0,[32833],13.0,748.0870459459951,735.0870459459951,0.06532663316582915,3.759231386663292,3.6939047534974625,208.04545454545453,21.0,187.04545454545453,True,True,True,True,True,4,4,True,44.0,7134.0,199.0,199.0,1.5714285714285714,1.7777777777777777,4,0.5454545454545454,2,4,0.4444444444444444
task-p3-3da056542192ad36,g-6561c85f253791c6,phase3-m18-b00-g-6561c85f253791c6,development,18,18,18,9,18,262144,11,4,0.36363636363636365,4,1.52587890625e-05,1.52587890625e-05,4.816479930623699,4.816479930623699,0.6020599913279624,5.418539921951662,-4.816479930623699,0.0,1628.0,2,10.0,"[8196, 16392]",10.0,842.6430442716913,832.6430442716913,0.05025125628140704,4.234387157144178,4.1841359008627705,204.23684210526318,15.0,189.23684210526318,True,True,True,True,True,4,4,True,76.0,11487.0,199.0,199.0,1.5714285714285714,2.0,4,0.36363636363636365,2,3,0.5
task-p3-3ede17ec3e7259cf,g-e62b89c25adcfec3,phase3-m22-b04-g-e62b89c25adcfec3,extrapolation_holdout,22,22,22,12,22,4194304,15,1,0.06666666666666667,1,2.384185791015625e-07,2.384185791015625e-07,6.622659904607587,6.622659904607587,0.0,6.622659904607587,-6.622659904607587,0.0,1104.0,1,16.0,[524353],16.0,817.9972264897945,801.9972264897945,0.08040201005025126,4.110538826581882,4.0301368165316305,206.1071428571429,16.0,190.1071428571429,True,True,True,True,True,1,1,True,56.0,10970.0,199.0,199.0,1.5,1.8333333333333333,4,0.4,3,4,0.3333333333333333
task-p3-40545d1e72d819c2,g-5017fd274a1c10ec,phase3-m16-b02-g-5017fd274a1c10ec,development,16,16,16,10,16,65536,10,10,1.0,10,0.000152587890625,0.000152587890625,3.816479930623699,3.816479930623699,1.0,4.816479930623699,-3.816479930623699,0.0,2766.0,1,14.0,[33028],14.0,702.3686209160999,688.3686209160999,0.07035175879396985,3.529490557367336,3.459138798573366,210.05555555555557,33.0,177.05555555555557,True,True,True,True,True,10,10,True,36.0,7875.0,199.0,199.0,1.25,1.6,4,0.6,3,4,0.35555555555555557
task-p3-41024d9e25f1b0aa,g-7b29ecdabf11c2a7,phase3-m22-b03-g-7b29ecdabf11c2a7,extrapolation_holdout,22,22,22,10,22,4194304,14,14,1.0,14,3.337860107421875e-06,3.337860107421875e-06,5.4765318689293485,5.4765318689293485,1.146128035678238,6.622659904607587,-5.4765318689293485,0.0,2228.0,1,5.0,[528388],5.0,830.3651012133221,825.3651012133221,0.02512562814070352,4.172688950820714,4.14756332268001,202.9019607843137,27.0,175.9019607843137,True,True,True,True,True,14,14,True,102.0,12124.0,199.0,199.0,1.75,2.2,7,0.2857142857142857,2,3,0.4888888888888889
