base_graph_id,split,size_m,objective,n_levels,eta,eta_se,kappa,eta_kappa_identity_error,intercept,R2,RMSE,D_min,D_max,P_feas_min,P_feas_max,optimizer_adequacy_flag,resource_censored
g-3e6704b429f1ca32,extrapolation_holdout,20,O0,6,0.6664260649386602,0.18828024268934626,0.3335739350613384,1.3877787807814457e-15,1.6626431434763225,0.757991814010105,0.1322097286809317,4.941418667231999,6.020599913279624,0.0037717349068773,0.0286915160207797,False,False
g-3e6704b429f1ca32,extrapolation_holdout,20,O2,6,0.8219358354912817,0.22786046701572446,0.17806416450871798,3.3306690738754696e-16,2.969853643701232,0.764869291976411,0.16000282393392062,4.941418667231999,6.020599913279624,0.0063095463768577,0.0679074918738451,False,False
g-3e6704b429f1ca32,extrapolation_holdout,20,O3,6,0.7906155363229328,0.24253974489022806,0.20938446367706606,1.1379786002407855e-15,2.7137939587612423,0.7265121591162351,0.17031056157701607,4.941418667231999,6.020599913279624,0.0054429476261376,0.0474293717124465,False,False
g-4471e11eca661209,extrapolation_holdout,20,O0,6,0.39745220915566437,0.0960494809555163,0.6025477908443351,5.551115123125783e-16,-0.3839670594231055,0.8106329343187357,0.06744560998907015,4.941418667231999,6.020599913279624,0.0015449928509138,0.0041727911947803,False,False
g-4471e11eca661209,extrapolation_holdout,20,O2,6,0.7777923766599708,0.03650546582434658,0.22220762334002847,7.216449660063518e-16,2.414741940976127,0.9912654928591265,0.025634010574180036,4.941418667231999,6.020599913279624,0.0056641988651473,0.0373794522100241,False,False
g-4471e11eca661209,extrapolation_holdout,20,O3,6,0.6538851127558897,0.11596281521532861,0.3461148872441096,7.216449660063518e-16,1.939727374069901,0.8882540508085714,0.08142868374135111,4.941418667231999,6.020599913279624,0.0086194832418673,0.044040724504449,False,False
g-4baa18b9cb3958b8,development,12,O0,6,3.3116768964570262,1.1048828101669201,-2.311676896457028,1.7763568394002505e-15,8.483019767182254,0.6919254546292801,0.5805235457199476,2.8342086975841307,3.612359947967774,0.0002605385623577,0.1382409300288866,False,False
g-4baa18b9cb3958b8,development,12,O2,6,1.3512770287049582,0.21066866417939314,-0.3512770287049585,2.7755575615628914e-16,3.037874410502553,0.9113913743907163,0.11068877058828532,2.8342086975841307,3.612359947967774,0.0176448209647972,0.1495956596674896,False,False
g-4baa18b9cb3958b8,development,12,O3,6,0.9793717378202357,0.43249952327441926,0.020628262179763605,7.181755190543981e-16,1.8929010787785396,0.5617742167291795,0.2272423414167531,2.8342086975841307,3.612359947967774,0.0195461095040841,0.1456392710485638,False,False
g-5017fd274a1c10ec,development,16,O0,6,0.032920376543356625,0.26147066122011425,0.9670796234566437,3.3306690738754696e-16,-2.2760153523260205,0.003947352950901317,0.16207217883111463,3.816479930623699,4.816479930623699,0.0021040028615134,0.0070786931443317,False,False
g-5017fd274a1c10ec,development,16,O2,6,0.43497298884862856,0.36783733865632273,0.5650270111513721,6.661338147750939e-16,0.12754553659847478,0.2590315565214183,0.2280033968372536,3.816479930623699,4.816479930623699,0.0083277270303942,0.0424098681436424,False,False
g-5017fd274a1c10ec,development,16,O3,6,0.6006126842259523,0.15571305439980493,0.39938731577404823,4.996003610813204e-16,0.7869569411636002,0.7881109934185845,0.0965184922899597,3.816479930623699,4.816479930623699,0.0072444856627841,0.0268567109989319,False,False
g-51ac21fe95f0c3f4,interpolation_holdout,12,O0,6,2.025409863812166,0.4585288050942718,-1.0254098638121667,6.661338147750939e-16,4.925351555402892,0.8298711182915172,0.24091855289869457,2.8342086975841307,3.612359947967774,0.002087562650591,0.109257174468447,False,False
g-51ac21fe95f0c3f4,interpolation_holdout,12,O2,6,0.8707927489863719,0.12422310565680936,0.12920725101362748,5.828670879282072e-16,1.590908733325892,0.9247254835032702,0.06526885665398302,2.8342086975841307,3.612359947967774,0.0297966218198189,0.1289199966575403,False,False
g-51ac21fe95f0c3f4,interpolation_holdout,12,O3,6,0.5622218517345948,0.19569604903612223,0.4377781482654043,8.881784197001252e-16,0.6701991623821261,0.6735693240440334,0.10282191307933494,2.8342086975841307,3.612359947967774,0.0482836430567614,0.1353845522710995,False,False
