task_id,base_graph_id,base_instance_id,size_stratum,stress_level,dilution_score,feasible_state_fraction,capacity_gap_mean,capacity_gap_penalty,capacity_gap_cvar,capacity_gap_p_feas_mean,capacity_gap_p_feas_penalty,capacity_gap_p_feas_cvar,capacity_gap_p_opt_mean,capacity_gap_p_opt_penalty,capacity_gap_p_opt_cvar,penalty_gap_closure_fraction,cvar_gap_closure_fraction,O2_base_kappa,tag_OBJECTIVE_LIMITED,tag_CAPACITY_LIMITED,tag_PENALTY_SURROGATE_SUCCESS,tag_CVAR_PARTIAL_ALIGNMENT,mechanistic_tags
task-v2-780e1209d403,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D7,4.640388671568018,2.288818359375e-05,0.24524883605087178,0.31652185337361427,0.05783185931903789,0.017376610942703395,0.020842018271080696,0.0050211048286744955,0.0026382956068699997,0.0031769078475175996,0.00025571168751999974,-0.29061510941466157,0.7641910956631742,0.28567612216689037,True,False,False,False,OBJECTIVE_LIMITED
task-v2-7d4ec5aed494,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D2,5.418539921951662,3.814697265625e-06,0.7482227566902253,0.7310985120120637,0.0026821527730045425,0.016923218332642598,0.016775273358753798,0.0001268423901323,0.012809429563988499,0.012679705795755298,-5.1925135336902684e-05,0.022886559550675797,0.9964153017947902,1.042148760780945,True,False,False,False,OBJECTIVE_LIMITED
task-v2-8792ce3c54d5,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D1,3.9133899436317554,0.0001220703125,0.40718896064171206,0.37809525199297567,-0.012296030226449872,0.0162173421015724,0.0154941994459842,-0.0007654436730956012,0.0162173421015724,0.0154941994459842,-0.0007654436730956012,0.07145014099322824,1.0301973565468765,0.13945155544105142,True,False,False,False,OBJECTIVE_LIMITED
task-v2-89b7591232ff,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D5,4.941418667231999,1.1444091796875e-05,0.8750948037883264,0.9965785059736612,-0.28878141436618554,0.024700579867040502,0.025627755376625802,-0.026915176423028802,0.0048543445143086,0.0049137173252656995,-0.006367654377779001,-0.13882347565021086,1.3300001475452,0.28567612216689037,True,False,False,False,OBJECTIVE_LIMITED
task-v2-8c0a098a6f8b,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D7,3.0682919036174985,0.0008544921875,0.01556619533550796,0.005464220834951128,0.07089669939686871,0.0043707783571112074,0.0015521552414100998,0.018698034273118197,-0.0025774887943703015,-0.0015752008539512002,-4.135972852330194e-05,0.6489687610120937,-3.554529727321785,0.13945155544105142,False,False,False,False,NONE
task-v2-8f4071cbe937,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D2,3.612359947967774,0.000244140625,0.5365199707353381,0.6239029225976995,0.0010374848114067525,0.030840162106717597,0.0331440658360833,0.00010374802393419563,0.0160374276769358,0.0171561702550973,0.00010224826370359985,-0.16286989604990287,0.9980662699097952,-0.10168452836737932,True,True,False,False,OBJECTIVE_LIMITED;CAPACITY_LIMITED
task-v2-9f1427c2fbd8,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D5,4.038328680240055,9.1552734375e-05,0.20191960895637173,0.201086125562024,0.05289862960825209,0.013948363772039996,0.013903095482650198,0.0043019313364991985,0.0067002246875476,0.006584617675314899,0.0027999825386240997,0.004127798179957023,0.7380213349180873,0.07030518097922192,True,False,False,False,OBJECTIVE_LIMITED
task-v2-a0f813383468,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D3,2.533178701920149,0.0029296875,0.1013329015222928,0.13248604727540592,-0.12255203885240618,0.0250077117839783,0.03159475873145211,-0.03917795487621849,0.010097008978716203,0.013747953831196001,-0.0168589838000332,-0.30743366947071543,2.209400273863127,0.1130294833144868,True,False,False,False,OBJECTIVE_LIMITED
task-v2-a2561503b5d0,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D2,4.515449934959718,3.0517578125e-05,0.28684930539026965,0.1631591658748368,0.006086151709003396,0.006706173059210699,0.004344729791447099,0.0001930559046500989,0.004349180822462901,0.00317159460744,0.0002327761560958,0.43120250665117554,0.9787827559814971,0.5641472514923005,True,False,False,False,OBJECTIVE_LIMITED
task-v2-ac528a9510be,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D4,3.311329952303793,0.00048828125,0.11822225213104387,0.1816539066367966,-0.009411830564463042,0.015362118208201499,0.0220344375626226,-0.0014122494731993035,0.0053083845236403995,0.0068537572589401005,-0.0009736036572366991,-0.5365458140269709,1.079611328618833,0.13945155544105142,True,False,False,False,OBJECTIVE_LIMITED
