task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,dilution_score,minimum_infeasible_total_penalty,maximum_total_penalty,maximum_feasible_total_penalty,penalty_feasibility_classification_match,basis_penalty_contract_pass,max_feasible_energy,min_infeasible_energy,strict_energy_class_separation,random_state_seed,random_state_p_feas,random_state_expected_total_penalty,random_state_lower_bound_margin,random_state_upper_bound_margin,random_state_penalty_bound_pass,random_state_cvar_tail_fully_feasible,random_state_cvar_tail_feasible_mass,random_state_cvar_tail_condition_pass
task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,10,3.010299956639812,1.0008586901858147,3.276451975708026,0.0,True,True,0.13372093023255813,1.0531842715811635,True,12643008481966810189,0.0006756113914005473,2.473089570366284,1.4737651817576845,1.5242079840681138,True,False,0.0006756113914005473,True
task-v2-f1a738d52e35,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D2,10,2.709269960975831,1.0001662424199738,3.2464959552257486,0.0,True,True,0.13372093023255813,1.087375544745555,True,17424603999551952719,0.00046972819928161973,2.426543769699644,1.4270134978989257,1.5715773175032295,True,False,0.00046972819928161973,True
task-v2-a0f813383468,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D3,10,2.533178701920149,1.0258944789908162,3.233859372315279,0.0,True,True,0.13372093023255813,1.1654293627117465,True,6090937828486901132,0.0028292337173613474,2.3847576519529072,1.3875868856702684,1.6039254131776475,True,False,0.0028292337173613474,True
task-v2-6996479d6302,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D4,10,2.4082399653118496,1.1666666666666667,3.104117523885747,0.0,True,True,0.13953488372093023,1.1666666666666667,True,3561185126540179516,0.006034849587544504,2.0437935805696537,1.049828430157198,1.9320670210801683,True,False,0.0060348495875445045,True
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D1,10,3.010299956639812,1.0016984389348025,3.3070727068666463,0.0,True,True,0.0755813953488372,1.1111111111111112,True,3698668834485205688,0.0005454809166908597,2.3487931144807783,1.349338595397469,1.6490249618524584,True,False,0.0005454809166908597,True
task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D2,10,2.709269960975831,1.0284552596673808,3.2630964595449443,0.0,True,True,0.13372093023255813,1.104036655016218,True,4711720831991766393,0.0022804750173237554,2.237284225363681,1.2395647003810046,1.753593874567024,True,False,0.0022804750173237554,True
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D3,10,2.533178701920149,1.0057086419753087,3.118502846648301,0.0,True,True,0.13372093023255813,1.1111111111111112,True,15683538164161437706,0.0020909820717258812,1.9252724262245013,0.9273634082962272,2.066363645488595,True,False,0.0020909820717258812,True
task-v2-f4789f22d2c1,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D4,10,2.4082399653118496,1.1111111111111112,3.0721926334047547,0.0,True,True,0.13372093023255813,1.1111111111111112,True,18021235122246542003,0.004843494739538125,1.7488781519190417,0.7537216466585799,2.2317478691228056,True,False,0.004843494739538125,True
task-v2-ff6e67bbbcba,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D1,10,3.010299956639812,1.0001300091880123,3.2440268660330815,0.0,True,True,0.06976744186046512,1.0815253580252218,True,16452175751619159194,0.0013392905055732173,2.321561886581443,1.322901177087016,1.6730809513962641,True,False,0.0013392905055732173,True
task-v2-a9de39f81405,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D2,10,2.709269960975831,1.0158085094764733,3.2328917547679135,0.0,True,True,0.08139534883720931,1.0972038583136827,True,7436974549729544095,0.004972905262116729,2.2897685591788584,1.2947414644409752,1.690339819772675,True,False,0.00497290526211673,True
task-v2-b0f919379fb8,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D3,10,2.533178701920149,1.0005341867659383,3.127346706204401,0.0,True,True,0.08139534883720931,1.110999303045008,True,17806484210035280623,0.002900640754889153,2.029975524070294,1.0328761648251832,1.9584219129101492,True,False,0.002900640754889153,True
task-v2-d80673ba7cf0,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D4,10,2.4082399653118496,1.125,3.1113852056381632,0.0,True,True,0.11046511627906977,1.125,True,10951798747162346277,0.004014799317705525,2.00873409822728,1.0127488975449856,1.9752067045018977,True,False,0.0040147993177055245,True
task-v2-30409dd5a775,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D1,10,3.010299956639812,1.016863460631971,3.6182940414343334,0.0,True,True,0.14534883720930233,1.086630902492436,True,18149003705124380993,0.0004568978147097263,2.602388295433203,1.6028451932479129,1.395784113307958,True,False,0.0004568978147097263,True
