run_id,task_id,objective_id,p_feas,expected_total_penalty,penalty_bound_lower_margin,penalty_bound_upper_margin,penalty_bound_pass
objective-run-c002ca762e2be026b417,task-v2-8792ce3c54d5,O3,0.0274199170435803,1.649244761366969,0.6766646784105513,2.241075570458708,True
objective-run-27463e5216b468d5af71,task-v2-5acbf653f95a,O0,0.0254853558713653,1.3986754351465869,0.4241607910179493,2.4993831413679546,True
objective-run-8077b64122adade7d2d8,task-v2-5acbf653f95a,O1,0.0254670669907325,1.409461551277225,0.4349286182679598,2.4886701807598426,True
objective-run-27daba28ca698823a9fe,task-v2-5acbf653f95a,O2,0.0350735980540465,1.5095144672981613,0.5445880653522036,2.3501911404856566,True
objective-run-9abf1d1445914a2338e5,task-v2-5acbf653f95a,O3,0.0349164064282016,1.5051576183043216,0.540074024732522,2.355176755982873,True
objective-run-46825d8834ede4aed58a,task-v2-ef23e17da545,O0,0.0362670575729008,1.3345735703121195,0.3708406278850203,2.520358199396277,True
objective-run-31116427d746657d109c,task-v2-ef23e17da545,O1,0.0379650117141486,1.3299672525823405,0.367932264296487,2.5181727005610672,True
objective-run-f9c99f328304034cb7b2,task-v2-ef23e17da545,O2,0.048195493185137,1.436477636565447,0.4846731297505832,2.3707403906940057,True
objective-run-aca415d77deb13098083,task-v2-ef23e17da545,O3,0.0493774238832213,1.4547138675091982,0.5040912913924193,2.3477764369579166,True
objective-run-74e8fee639190cda8d57,task-v2-ac528a9510be,O0,0.0491003927918695,1.3120050608246168,0.3611054536164835,2.4915933680079085,True
objective-run-fee7fe5803184570c097,task-v2-ac528a9510be,O1,0.0424280734374484,1.3484711246770416,0.39089919811449,2.4818165815731645,True
objective-run-84873631424af7199cb2,task-v2-ac528a9510be,O2,0.064462511000071,1.3942420564985494,0.4587045674986211,2.3479078995011657,True
objective-run-83951d9fc929ab50663c,task-v2-ac528a9510be,O3,0.0658747604732703,1.4196547843127805,0.4855295447860466,2.316846173794143,True
objective-run-915559b308d20165dd13,task-v2-5b0627539151,O0,0.078445727603518,1.2307092897393097,0.3091550173428251,2.4555077998466213,True
objective-run-3a8799fee9012c2441e5,task-v2-5b0627539151,O1,0.0794822501701369,1.229240972539024,0.3087232227091594,2.45283002678043,True
objective-run-df7c623fb9744307df73,task-v2-5b0627539151,O2,0.0848875271377457,1.2431225067969511,0.3280100339346976,2.417327384652065,True
objective-run-ad5ea53744984b64c26e,task-v2-5b0627539151,O3,0.0920212431323841,1.2468470633147015,0.3388683064470827,2.3850679641557653,True
objective-run-6649af143d8ded733545,task-v2-c5ed7c8b71f4,O0,0.0972704600792247,1.134097178252035,0.2313676383312579,2.476820981431068,True
objective-run-61b1d10605bcf2e05038,task-v2-c5ed7c8b71f4,O1,0.1131431130802285,1.1264072104204306,0.2395503235006627,2.4210203372586507,True
objective-run-ee694d718b367750678a,task-v2-c5ed7c8b71f4,O2,0.1310050931394008,1.1509226260833736,0.2819277192227759,2.325057001359021,True
objective-run-3ae366b7a35c529deb98,task-v2-c5ed7c8b71f4,O3,0.1111990687945153,1.1512482657606748,0.2624473345551904,2.4039554590612635,True
objective-run-fe92d0ca869a6fe0945e,task-v2-8c0a098a6f8b,O0,0.119771716779445,1.102277930178793,0.2220496469582386,2.418635202703426,True
objective-run-5a3ef2085ea033329674,task-v2-8c0a098a6f8b,O1,0.1225903398951461,1.0998089157842856,0.2223992556794323,2.409829724635129,True
objective-run-faa067b7d684576fd507,task-v2-8c0a098a6f8b,O2,0.1241424951365562,1.1110849037078965,0.2352273988444524,2.39234511574588,True
objective-run-166a81652f928072874e,task-v2-8c0a098a6f8b,O3,0.105444460863438,1.1536282610909527,0.2590727219543935,2.424593895455291,True
objective-run-0316021ea758e285125e,task-v2-3f11ce371857,O0,0.0045762401687283,1.5199250940134654,0.524501334182194,2.461769945311621,True
objective-run-eb1c37911b2c54c63c31,task-v2-3f11ce371857,O1,0.0046682569015,1.5268068345156096,0.5314750914171141,2.4545201378783856,True
objective-run-3be2354c8b5ffe9b22df,task-v2-3f11ce371857,O2,0.0092316630219668,1.7627713184682396,0.7720029814902103,2.200302029443889,True
objective-run-cd61fa2a6b42b719f787,task-v2-3f11ce371857,O3,0.0127592876017221,1.797607380230113,0.8103666678318366,2.151355469362997,True
objective-run-6e9095cf459c3efd273b,task-v2-095187356858,O0,0.0050555548045714,1.451590469248344,0.4566460240529122,2.5281873115333733,True
objective-run-16a9f876f272466ff982,task-v2-095187356858,O1,0.0047513046540321,1.4633655845896294,0.46811688924366,2.5176291967942435,True
objective-run-ee7f602015a74100e187,task-v2-095187356858,O2,0.0055749500425496,1.595389055490397,0.6009640055329459,2.382311144339405,True
objective-run-3abd2fc0d1367c365071,task-v2-095187356858,O3,0.0099016233282736,1.5331137170685465,0.5430153403968218,2.427279789618357,True
objective-run-c95a37cb46a7fe840a1b,task-v2-0b71cbcaebc2,O0,0.0019741629447588,1.2896830118967026,0.2916571748414603,2.702420336324263,True
objective-run-1984e400bd0426d52d91,task-v2-0b71cbcaebc2,O1,0.0023100449543221,1.28236567915929,0.2846757241136134,2.70839414102342,True
objective-run-0f2c7adf96ed6ff94995,task-v2-0b71cbcaebc2,O2,0.0171775818036128,1.5246151877484166,0.5417927695520264,2.406674485037135,True
objective-run-b7c4590fa7e2d639f340,task-v2-0b71cbcaebc2,O3,0.025344556666231,1.574473975261223,0.5998185319274528,2.324147798073854,True
objective-run-e80d5fae9402f411d426,task-v2-606c43f06406,O0,0.0089848799341612,1.4064919771871969,0.41547685712136,2.557568503076157,True
objective-run-ba1a3724036c3565b5c7,task-v2-606c43f06406,O1,0.0124836917318029,1.3890725670429651,0.4015562587747674,2.560992666029824,True
objective-run-79681059c0528916cc19,task-v2-606c43f06406,O2,0.0339035687919134,1.5749280051773664,0.6088315739692747,2.289457719654985,True
objective-run-864724dc3e6865af5660,task-v2-606c43f06406,O3,0.0194551554240503,1.5017691001626852,0.5212242555867348,2.420410278141114,True
objective-run-33de867aad0c16283a1a,task-v2-9f1427c2fbd8,O0,0.0235648475672959,1.2687990403939375,0.2923638879612359,2.6369415693368765,True
objective-run-f4d729dfed054554ef24,task-v2-9f1427c2fbd8,O1,0.0236101158566857,1.2722675527837723,0.2958776686404547,2.633291983789488,True
objective-run-bc0b1e542ac9d9ed9780,task-v2-9f1427c2fbd8,O2,0.0375132113393359,1.4245713009625398,0.4620845123018757,2.4253758536801167,True
objective-run-21ca30371b2c6b79e39d,task-v2-9f1427c2fbd8,O3,0.0332112800028367,1.2874037707991757,0.3206150508020119,2.579751109189478,True
objective-run-b7317229ae3f627c7f30,task-v2-07b8f456a957,O0,0.0262131587619962,1.2306733140745192,0.2568864728365132,2.664474050877498,True
objective-run-a36c4b2bf213866aea36,task-v2-07b8f456a957,O1,0.0255985600464696,1.2385023168088434,0.2641008768553172,2.659103443005274,True
objective-run-e1fa2c2e2b300ff6ee77,task-v2-07b8f456a957,O2,0.0448416594263438,1.359701271289726,0.4045429307160704,2.460932091004898,True
