run_id,task_id,base_graph_id,base_instance_id,size_stratum,stress_level,dilution_score,p_feas,cvar_alpha,cvar_value,cvar_cutoff_energy,cvar_tail_fully_feasible,cvar_tail_feasible_mass,cvar_fractional_cutoff_mass,p_feas_at_least_alpha,cvar_tail_condition_pass
objective-run-aae383e34b24a3a951f4,task-v2-7d4ec5aed494,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D2,5.418539921951662,0.0204749783144732,0.1,0.8458409632002203,1.0647840531561463,False,0.0204749783144732,0.0024617880765274,False,True
objective-run-9719261e7485d26b2f77,task-v2-7133b996bac7,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D3,5.24244866289598,0.0290209760885955,0.1,0.762984800482949,1.0589700996677742,False,0.0290209760885955,0.0086187724713598,False,True
objective-run-a4fee466c35c4fa31025,task-v2-b9b3757d64c0,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D4,5.11750992628768,0.0348919090283009,0.1,0.7071906977852613,1.0647840531561463,False,0.0348919090283009,0.0005321277775487,False,True
objective-run-b3b7d0422449a27b34aa,task-v2-11173062a501,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D5,4.941418667231999,0.0266570666794359,0.1,0.7909206326354209,1.0647840531561463,False,0.0266570666794358,0.0016189043897129,False,True
objective-run-c6b7101e4df3bed2bdda,task-v2-c95d7e1ff6e7,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D6,4.816479930623699,0.0171463713559,0.1,0.8772413885498377,1.053156146179402,False,0.0171463713559001,0.0103941969160955,False,True
objective-run-91a2aee078c42623bf19,task-v2-f5c9b9bdeb27,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D7,4.719569917615643,0.0210535853442318,0.1,0.8612195525790609,1.100498338870432,False,0.0210535853442318,8.892546759961539e-05,False,True
objective-run-af7c7cedb3895c17da0e,task-v2-420d9636beee,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D1,5.719569917615643,0.0056470197806504,0.1,0.9917888198859168,1.0533282109957902,False,0.0056470197806504,0.0031665329471536,False,True
objective-run-03914190dba97ae60e54,task-v2-e449b07a1126,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D2,5.418539921951662,0.0092153414780195,0.1,0.9575436667114652,1.059108527131783,False,0.0092153414780195,0.0002744211249915,False,True
objective-run-703688ef9b7f544bfd4d,task-v2-6e79cb6720c5,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D3,5.24244866289598,0.0130237121172822,0.1,0.9209524941864272,1.059108527131783,False,0.0130237121172822,0.00285716576176,False,True
objective-run-a5dc6c75c7ce4b75c339,task-v2-526a936f38d9,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D4,5.11750992628768,0.0187952675355513,0.1,0.8634462955969452,1.059108527131783,False,0.0187952675355513,0.0032953266912331,False,True
objective-run-bfb7ad91a429b3ebdd1e,task-v2-89b7591232ff,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D5,4.941418667231999,0.0554155068873643,0.1,0.5074554078132494,1.0707364341085273,False,0.0554155068873644,0.0046489442428066,False,True
objective-run-c57f57a6c20d73060de6,task-v2-5f165c277bb9,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D6,4.816479930623699,0.0281107995372971,0.1,0.773435525832708,1.059108527131783,False,0.0281107995372971,0.0028565232136578,False,True
objective-run-1a26ffc80fcd9e64adfc,task-v2-780e1209d403,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D7,4.640388671568018,0.0352516691242798,0.1,0.741965262057561,1.12984496124031,False,0.0352516691242797,5.667288269864401e-05,False,True
