task_id,graph_id,optimizer,objective,depth,seed_count,objective_value,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas,median_nfev,median_nit,median_wall_time_s
task-v2-3f363bac5736,g-60667963f6db3f1b,COBYLA,O3,2,3,0.9543127500983506,2.0356936431291475,0.017540695556826167,0.017540695556826167,1.0,1.2543467674772522,120.0,94.0,0.2787672197446227
task-v2-3f363bac5736,g-60667963f6db3f1b,COBYLA,O3,3,3,0.9106530603208459,2.1829169308486653,0.02166887316663014,0.02166887316663014,1.0,1.346136284192268,120.0,91.0,0.3240839624777436
task-v2-3f363bac5736,g-60667963f6db3f1b,Nelder-Mead,O0,2,3,1.9367577556607898,1.9367577556607898,0.0061214669371509964,0.0061214669371509964,1.0,0.797155464793414,120.0,71.0,0.06733947526663542
task-v2-3f363bac5736,g-60667963f6db3f1b,Nelder-Mead,O0,3,3,1.6421569428231673,1.6421569428231673,0.00041612535164449346,0.00041612535164449346,1.0,-0.3704758681970898,120.0,76.0,0.10942677035927773
task-v2-3f363bac5736,g-60667963f6db3f1b,Nelder-Mead,O3,2,3,0.994046497897422,2.1414343055679783,0.016921528805503166,0.016921528805503166,1.0,1.2387395542198896,120.0,69.0,0.07575173676013947
task-v2-3f363bac5736,g-60667963f6db3f1b,Nelder-Mead,O3,3,3,0.8397528464935186,1.9456293134497964,0.025014494242557007,0.025014494242557007,1.0,1.4084916831321905,120.0,75.0,0.10600490774959326
task-v2-3f363bac5736,g-60667963f6db3f1b,SLSQP,O0,2,3,1.9367500817391037,1.9367500817391037,0.005970228991696197,0.005970228991696197,1.0,0.7862909457126998,87.0,16.0,0.052731714211404324
task-v2-3f363bac5736,g-60667963f6db3f1b,SLSQP,O0,3,3,1.7203983429834033,1.7203983429834033,0.0003553997431342492,0.0003553997431342492,1.0,-0.43898293377784536,120.0,16.0,0.10400052554905415
task-v2-3f363bac5736,g-60667963f6db3f1b,SLSQP,O3,2,3,1.1357297674452729,2.4083072905103484,0.00331906765699031,0.00331906765699031,1.0,0.5313160619432863,120.0,21.0,0.08109514228999615
task-v2-3f363bac5736,g-60667963f6db3f1b,SLSQP,O3,3,3,0.8184199881307181,2.0186575323132905,0.026826000277180573,0.026826000277180573,1.0,1.4388558813788501,120.0,15.0,0.11095034796744585
task-v2-420d9636beee,g-e0c69f84d376b633,COBYLA,O0,2,3,1.7518537413813642,1.7518537413813642,0.001145645334572641,0.001145645334572641,1.0,2.7786201084778015,120.0,93.0,79.18184227030724
task-v2-420d9636beee,g-e0c69f84d376b633,COBYLA,O0,3,3,1.5729888953861813,1.5729888953861813,0.0005028094023985714,0.0005028094023985714,1.0,2.4209733078937568,120.0,89.0,116.59300094656646
task-v2-420d9636beee,g-e0c69f84d376b633,COBYLA,O3,2,3,1.0294787432531454,1.893286353928523,0.002597282906160713,0.002597282906160713,1.0,3.1340891748663573,120.0,95.0,86.02367585804313
task-v2-420d9636beee,g-e0c69f84d376b633,COBYLA,O3,3,3,1.0184924635535857,1.8642112967591418,0.0029112675376813733,0.0029112675376813733,1.0,3.183652035386909,120.0,89.0,122.6516061834991
task-v2-420d9636beee,g-e0c69f84d376b633,Nelder-Mead,O0,2,3,1.7723265728819682,1.7723265728819682,0.0011015012917493549,0.0011015012917493549,1.0,2.7615549284072753,120.0,68.0,84.34754159394652
task-v2-420d9636beee,g-e0c69f84d376b633,Nelder-Mead,O0,3,3,1.6228123881777967,1.6228123881777967,0.0006132465300197549,0.0006132465300197549,1.0,2.5072050170989804,120.0,74.0,126.3492937143892
task-v2-420d9636beee,g-e0c69f84d376b633,Nelder-Mead,O3,2,3,0.9997597149143242,1.8702038618658012,0.004745669656638035,0.004745669656638035,1.0,3.3958674215575564,120.0,71.0,79.86363211739808
task-v2-420d9636beee,g-e0c69f84d376b633,Nelder-Mead,O3,3,3,1.0219061443267874,1.9404312612133194,0.00263558134297777,0.00263558134297777,1.0,3.140446342173915,120.0,72.0,113.24257934652269
task-v2-420d9636beee,g-e0c69f84d376b633,SLSQP,O0,2,3,1.4204762117435394,1.4204762117435394,0.00023416324481164382,0.00023416324481164382,1.0,2.089088645123151,118.0,21.0,74.63855368923396
task-v2-420d9636beee,g-e0c69f84d376b633,SLSQP,O0,3,3,1.349014498578494,1.349014498578494,0.00010586978599922262,0.00010586978599922262,1.0,1.7443419528313784,120.0,16.0,114.29016244597733
task-v2-420d9636beee,g-e0c69f84d376b633,SLSQP,O3,2,3,0.9917561626579375,1.894680420931048,0.00548649071627044,0.00548649071627044,1.0,3.4588645662792574,120.0,22.0,79.54394311271608
