graph_id,optimizer,objective,depth,n_tasks,objective_value,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas
g-a87f1b9ac089cc45,Nelder-Mead,O0,3,7,1.3455896486534158,1.3455896486534158,0.0027090693963112067,0.001315312958388937,0.613361462258759,2.45248415197236
g-a87f1b9ac089cc45,Nelder-Mead,O3,2,7,0.9525989501850266,1.8410929382404884,0.011142509651124918,0.006237628883668292,0.5436229803368315,2.9990308369559258
g-a87f1b9ac089cc45,Nelder-Mead,O3,3,7,0.934503969801412,1.5484342315816566,0.011154940301555697,0.005825775300111311,0.5606224227884304,3.1600775192614288
g-a87f1b9ac089cc45,SLSQP,O0,2,7,1.3528770966301444,1.3528770966301444,0.0016905461658315614,0.0008010310406680756,0.6134122849524193,2.2101610074797082
g-a87f1b9ac089cc45,SLSQP,O0,3,7,1.260422469742629,1.260422469742629,0.0028100509499569127,0.001256817057852964,0.6203709717235141,2.25218169174645
g-a87f1b9ac089cc45,SLSQP,O3,2,7,0.907706952233409,1.7008787104551253,0.015245407382532748,0.007452283888576794,0.515535611180244,3.095620071608535
g-a87f1b9ac089cc45,SLSQP,O3,3,7,0.9403902854993316,1.6228276811966285,0.010518878789943854,0.005447131209016178,0.5705342390708523,3.104002958029412
g-bd62d2d752385cc7,COBYLA,O0,2,7,1.7417188421334355,1.7417188421334355,0.004770612705086032,0.0015843626721788098,0.38762680079886624,1.8966358240207402
g-bd62d2d752385cc7,COBYLA,O0,3,7,1.4127283740901413,1.4127283740901413,0.0030803053794590733,0.002253211156646625,0.7582605380326949,1.7298073378958085
g-bd62d2d752385cc7,COBYLA,O3,2,7,1.0319990974555868,2.001385789496069,0.005894938774948374,0.0017684871922092735,0.3137075394061913,1.9864960960513558
g-bd62d2d752385cc7,COBYLA,O3,3,7,0.9375233466345032,1.6749765480398762,0.012800414133669422,0.004969750577909342,0.4697486938759767,2.3547167732085943
g-bd62d2d752385cc7,Nelder-Mead,O0,2,7,1.5122177781147041,1.5122177781147041,0.005958750354937851,0.00240893794717368,0.43297763530074346,2.01326257416919
g-bd62d2d752385cc7,Nelder-Mead,O0,3,7,1.420512310345726,1.420512310345726,0.0026535248682662545,0.001421727841306062,0.5678029996481397,1.6459018115024786
g-bd62d2d752385cc7,Nelder-Mead,O3,2,7,1.0154214597134072,1.9927144956051241,0.006556143224394516,0.003064706917622429,0.40237860649776186,1.9778801006077307
g-bd62d2d752385cc7,Nelder-Mead,O3,3,7,0.9153476211348444,1.5783799682292454,0.01534901762089468,0.005645607637765051,0.47307365920480937,2.405682969331899
g-bd62d2d752385cc7,SLSQP,O0,2,7,1.419163334009134,1.419163334009134,0.0052862517513378076,0.002243241610535717,0.5433139802578469,1.7880630552373618
g-bd62d2d752385cc7,SLSQP,O0,3,7,1.3328018557043741,1.3328018557043741,0.004172788850808545,0.0022819771751055825,0.6184915925678104,1.7274650912541536
g-bd62d2d752385cc7,SLSQP,O3,2,7,0.9817961032688993,1.902427060065646,0.009270804952206451,0.004286845662695614,0.41584401527887077,2.0234780928804637
g-bd62d2d752385cc7,SLSQP,O3,3,7,0.9048599275264407,1.57481196982169,0.016047109709893485,0.005946088166007993,0.46374320446165446,2.432297140995416
g-e0c69f84d376b633,COBYLA,O0,2,7,1.6137826362010241,1.6137826362010241,0.004779800747938147,0.0012314627025913638,0.3980880562909831,2.684001025915793
g-e0c69f84d376b633,COBYLA,O0,3,7,1.3988963496048092,1.3988963496048092,0.0011986807617746609,0.0004206757765751359,0.44963507256052704,2.1633256501786713
g-e0c69f84d376b633,COBYLA,O3,2,7,0.9818519505035495,1.8000874985876087,0.008704977589515198,0.0025547869967012353,0.40297501870476715,3.0118327538076093
g-e0c69f84d376b633,COBYLA,O3,3,7,0.9324118843017609,1.7232434878985248,0.012191508891466932,0.0033877423749624673,0.409364033632727,3.1256522402549654
