task_id,graph_id,optimizer,objective,seed,embedded_p2_objective,terminal_p3_objective,signed_nested_regret,embedding_identity_error,embedding_identity_pass,nested_pass,nested_failure,embedded_p2_mean_energy,embedded_p2_P_feas,embedded_p2_G_feas,terminal_p3_mean_energy,terminal_p3_P_feas,terminal_p3_G_feas,actual_nfev,scipy_reported_nfev,nit,termination_reason,wall_time_s
task-v2-6996479d6302,g-60667963f6db3f1b,Nelder-Mead,O3,1103,0.5048657117682331,0.44617224063655403,-0.05869347113167911,0.0,True,True,False,1.7176202646172383,0.06326078603574198,1.2093745491745838,1.6862979613977884,0.06697430185944168,1.2341481605271862,120,120.0,76,EVALUATION_BUDGET_EXHAUSTED,0.11432485468685627
task-v2-f5c9b9bdeb27,g-a87f1b9ac089cc45,COBYLA,O3,3301,1.0974337827088159,0.9592454451452448,-0.13818833756357107,0.0,True,True,False,2.31248905280099,0.0005812429811510552,1.4839276391854455,1.7261324597781036,0.009737283478257027,2.708007731275091,120,120.0,91,EVALUATION_BUDGET_EXHAUSTED,119.4813006138429
task-v2-69173fedcdae,g-8a16a856f5377a40,SLSQP,O0,2207,1.2899084520050577,1.3212518034836098,0.03134335147855216,0.0,True,False,True,1.2899084520050577,0.04222805261449812,1.6938929576145514,1.3212518034836098,0.030265249418795912,1.5492361609429042,120,,14,EVALUATION_BUDGET_EXHAUSTED,0.4670064263045788
task-v2-8792ce3c54d5,g-a712031e7959d564,COBYLA,O0,1103,1.861474300785369,1.3360128356233758,-0.5254614651619931,0.0,True,True,False,1.861474300785369,0.0066751143421407725,1.7378486530294877,1.3360128356233758,6.753732806682666e-05,-0.25706618142489357,120,120.0,90,EVALUATION_BUDGET_EXHAUSTED,0.6671218452975154
task-v2-5f165c277bb9,g-e0c69f84d376b633,SLSQP,O0,1103,1.2088101137532463,1.1549018457329945,-0.05390826802025184,-2.220446049250313e-16,True,True,False,1.2088101137532463,0.000675414742834028,1.646050466730001,1.1549018457329945,0.0008175875210990453,1.7290141847949825,120,,16,EVALUATION_BUDGET_EXHAUSTED,133.5153064019978
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,COBYLA,O0,3301,1.7908061726500937,1.439017327653732,-0.35178884499636176,0.0,True,True,False,1.7908061726500937,0.028031606450380244,0.9808266891754022,1.439017327653732,0.001256254191541167,-0.3677437742723708,120,120.0,87,EVALUATION_BUDGET_EXHAUSTED,0.29517784621566534
task-v2-7133b996bac7,g-a87f1b9ac089cc45,Nelder-Mead,O3,2207,0.9310782883605051,0.9201120104156575,-0.010966277944847613,0.0,True,True,False,1.70568010660086,0.01104974756857759,3.285801019575386,1.7903247384076684,0.012633677341981914,3.3439784439246325,120,120.0,78,EVALUATION_BUDGET_EXHAUSTED,124.3400762937963
task-v2-420d9636beee,g-e0c69f84d376b633,COBYLA,O3,3301,1.0228544323751443,1.0202937309871842,-0.0025607013879600515,0.0,True,True,False,1.8932863539285285,0.0028117239409354167,3.1685425964051905,1.8426431161799781,0.002751918407433187,3.1592054708248862,120,120.0,89,EVALUATION_BUDGET_EXHAUSTED,117.68623271025717
task-v2-9f1427c2fbd8,g-3ff7063ef9ea5cfb,Nelder-Mead,O3,3301,0.9707438464737059,0.8938017681801949,-0.07694207829351107,0.0,True,True,False,1.8258089889025815,0.012049624753940322,2.119302202683674,1.8309455052615005,0.017449825573026653,2.280119770386221,120,120.0,73,EVALUATION_BUDGET_EXHAUSTED,6.211643307469785
task-v2-606c43f06406,g-3ff7063ef9ea5cfb,Nelder-Mead,O0,2207,1.494719498696467,1.568049918733219,0.07333042003675216,0.0,True,False,True,1.494719498696467,0.01121214135191066,2.2641085035862543,1.568049918733219,0.0012422175747583285,1.308617608599545,120,120.0,73,EVALUATION_BUDGET_EXHAUSTED,7.619860181584954
task-v2-8792ce3c54d5,g-a712031e7959d564,SLSQP,O3,3301,0.7771097582761836,0.7377750914425873,-0.03933466683359621,0.0,True,True,False,1.7630268786551697,0.028258779438308984,2.364543343371655,1.9868913343119372,0.0331729990400601,2.4341746797780663,120,,16,EVALUATION_BUDGET_EXHAUSTED,0.5554250627756119
task-v2-eb1005d46905,g-8a16a856f5377a40,Nelder-Mead,O0,2207,1.3694844051122068,1.4273805982425694,0.05789619313036254,0.0,True,False,True,1.3694844051122068,0.04958452790961762,2.0066761350093714,1.4273805982425694,0.005243102109166768,1.0309182679644673,120,120.0,81,EVALUATION_BUDGET_EXHAUSTED,0.40650206431746483
task-v2-e449b07a1126,g-e0c69f84d376b633,Nelder-Mead,O3,2207,0.9779075231072918,0.958256493085838,-0.01965103002145374,0.0,True,True,False,1.8565170401917996,0.007253911095069572,3.279112150455891,1.954531069354943,0.009908888777740706,3.414564875654436,120,120.0,79,EVALUATION_BUDGET_EXHAUSTED,127.67539459466934
task-v2-e442db508705,g-548c8c6335dd2a2e,Nelder-Mead,O3,1103,0.4414609017883476,0.8795160656760199,0.4380551638876723,0.0,True,False,True,1.9279505730904924,0.06095950177566052,0.8922513784885068,2.2571169352769225,0.028648380587852063,0.5643100472030316,120,120.0,74,EVALUATION_BUDGET_EXHAUSTED,0.06512448098510504
task-v2-c5ed7c8b71f4,g-a712031e7959d564,Nelder-Mead,O0,1103,1.2882198970765142,1.347886315743152,0.0596664186666378,0.0,True,False,True,1.2882198970765142,0.049479511300557916,1.8296640947848408,1.347886315743152,0.010787859462261616,1.168173973338769,120,120.0,75,EVALUATION_BUDGET_EXHAUSTED,0.42948295269161463
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,Nelder-Mead,O0,1103,1.4604787963524544,1.4649622784988447,0.004483482146390383,0.0,True,False,True,1.4604787963524544,0.13556482022684344,0.7622357174120926,1.4649622784988447,0.05668264631579163,0.3835388326771874,120,120.0,75,EVALUATION_BUDGET_EXHAUSTED,0.03860783763229847
