evidence_label,task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,dilution_score,objective_id,shots,replicate,sampling_seed,p_feas_estimate,p_opt_estimate,mean_energy_estimate,cvar_0_10_estimate,p_feas_exact,p_opt_exact,mean_energy_exact,cvar_0_10_exact,p_feas_error,p_opt_error,mean_energy_error,cvar_0_10_error
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,O3,1000,8,4699430076998493952,0.148,0.123,1.5583473694120253,0.05232558139534881,0.1741986138807083,0.142461176844699,1.4881575569620957,0.05232558139534884,-0.026198613880708294,-0.019461176844699002,0.07018981244992961,-2.7755575615628914e-17
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,O3,1000,9,12203988559537727243,0.156,0.132,1.5314842585887425,0.05232558139534881,0.1741986138807083,0.142461176844699,1.4881575569620957,0.05232558139534884,-0.018198613880708286,-0.010461176844698994,0.04332670162664676,-2.7755575615628914e-17
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,O3,1000,10,4779817811968868878,0.185,0.161,1.4745945894382122,0.05232558139534881,0.1741986138807083,0.142461176844699,1.4881575569620957,0.05232558139534884,0.010801386119291712,0.018538823155301004,-0.013562967523883529,-2.7755575615628914e-17
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,O3,1000,11,17838486250483313146,0.158,0.133,1.499969408108445,0.05232558139534881,0.1741986138807083,0.142461176844699,1.4881575569620957,0.05232558139534884,-0.016198613880708285,-0.009461176844698993,0.011811851146349195,-2.7755575615628914e-17
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,O3,1000,12,14906296076563179724,0.194,0.155,1.4223861671710865,0.05232558139534881,0.1741986138807083,0.142461176844699,1.4881575569620957,0.05232558139534884,0.01980138611929172,0.012538823155300999,-0.06577138979100927,-2.7755575615628914e-17
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,O3,1000,13,15224045508902738063,0.17,0.14,1.503203155571659,0.05232558139534881,0.1741986138807083,0.142461176844699,1.4881575569620957,0.05232558139534884,-0.004198613880708274,-0.002461176844698987,0.015045598609563227,-2.7755575615628914e-17
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,O3,1000,14,15981872774085515446,0.167,0.146,1.5019442108260987,0.05232558139534881,0.1741986138807083,0.142461176844699,1.4881575569620957,0.05232558139534884,-0.007198613880708277,0.003538823155300991,0.013786653864003018,-2.7755575615628914e-17
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,O3,1000,15,15464944642364118066,0.177,0.147,1.4717313367313745,0.05232558139534881,0.1741986138807083,0.142461176844699,1.4881575569620957,0.05232558139534884,0.0028013861192917044,0.004538823155300992,-0.016426220230721267,-2.7755575615628914e-17
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,O3,1000,16,15204903217978738934,0.183,0.146,1.4752474256985113,0.05232558139534881,0.1741986138807083,0.142461176844699,1.4881575569620957,0.05232558139534884,0.00880138611929171,0.003538823155300991,-0.012910131263584423,-2.7755575615628914e-17
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,O3,1000,17,8459237671520604670,0.163,0.125,1.5068438880918884,0.05232558139534881,0.1741986138807083,0.142461176844699,1.4881575569620957,0.05232558139534884,-0.01119861388070828,-0.017461176844699,0.018686331129792677,-2.7755575615628914e-17
