record_type,scope,objective_id,shots,metric,n_estimates,n_tasks,bias,mae,standard_deviation,rmse,error_p05,error_p50,error_p95,estimate_p05,estimate_p50,estimate_p95,relative_bias,relative_mae,relative_rmse,ordering_agreement_probability,ordering_comparison_count,exact_tie_count
ESTIMATOR_ERROR,S2,O0,1000,mean_energy,240,12,4.1929191601182875e-05,0.014998421680206524,0.019091230028068236,0.01905146125476434,-0.029950177744197358,0.0011099254659868718,0.032418203447688,1.22473946170323,1.5177237828745938,1.8153651804227258,-8.641483335181998e-05,0.010122867674095452,0.012838658095229128,,0,0
ESTIMATOR_ERROR,S2,O0,1000,cvar_0.10,240,12,0.0015860452939278906,0.03140600825637528,0.050301450080320914,0.05022159665280112,-0.1049092218333475,-0.00040785308387150665,0.09752596537107483,0.07707558139534885,0.45855385200696597,1.101460308379036,0.019860862029974165,0.09174203210968614,0.1865606459029816,,0,0
ESTIMATOR_ERROR,S2,O0,10000,p_feas,240,12,-3.629037459599338e-05,0.0018594049487549989,0.002530379429514902,0.0025253630692823183,-0.004515189707088474,9.983131647380798e-06,0.004123302702809309,0.004390000000000001,0.0645,0.15771000000000002,0.003633154355573991,0.048486823675807214,0.06910454946472959,,0,0
ESTIMATOR_ERROR,S2,O0,10000,p_opt,240,12,-3.0947767524795303e-06,0.0012201264348199012,0.0015813801045745292,0.0015780851582875776,-0.0028703030241506596,-8.169103064741218e-05,0.0025488580714387666,0.00419,0.03275,0.0482,0.0020441539058017244,0.060599179367697834,0.08166298511370335,,0,0
ESTIMATOR_ERROR,S2,O0,10000,mean_energy,240,12,0.0002941979590067821,0.0048500967330948695,0.006165922810773703,0.006160092994188602,-0.00949981475496966,0.00045255680629818773,0.011008680300953982,1.2266968876726756,1.5154951338657892,1.8129121963229484,0.0002027442516676553,0.0032978573805439097,0.004193732432677924,,0,0
ESTIMATOR_ERROR,S2,O0,10000,cvar_0.10,240,12,0.00017233427798700693,0.011772794643888692,0.01896312240599419,0.01892435935791007,-0.02772564892105954,-7.3805304932964e-06,0.034185253135154574,0.07662325581395349,0.4619832678896111,1.0907413479618606,0.006243920130873592,0.03552270720342353,0.07545660393271166,,0,0
ESTIMATOR_ERROR,S2,O0,100000,p_feas,240,12,1.904295873733976e-05,0.0006198460231175686,0.0008967847154564357,0.0008951170491687672,-0.001276130984833783,3.699388249660089e-06,0.0014553690151662255,0.00415,0.06415499999999999,0.1588605,-0.0007926155108609426,0.015423832786915122,0.0240260080164917,,0,0
ESTIMATOR_ERROR,S2,O0,100000,p_opt,240,12,1.6863556580853886e-05,0.0003777260419948295,0.0005302071530076944,0.000529370071754938,-0.0008089345391192777,3.279669455525606e-05,0.0007521492354243037,0.00415,0.03248,0.04887,0.0003423481289837868,0.019124093693391995,0.027067758292174175,,0,0
ESTIMATOR_ERROR,S2,O0,100000,mean_energy,240,12,-2.0687509876963588e-05,0.0015537678395729356,0.002018854322353826,0.0020147501982602225,-0.0034807110859679247,8.400018733256687e-05,0.00301188996439079,1.2238004319911773,1.5160751684335536,1.81412674312168,-4.600825979745809e-06,0.0010578925028717425,0.0013838183096915283,,0,0
ESTIMATOR_ERROR,S2,O0,100000,cvar_0.10,240,12,-0.0004347878820579316,0.0033635418316884744,0.005234742126599472,0.005241887870446067,-0.010245499934506151,-2.0643781545932882e-05,0.008390197224768983,0.07664965116279072,0.46039645574378596,1.0939498198622442,-0.0019345374046760215,0.011182149644233337,0.02338213022413368,,0,0
