task_id,base_graph_id,base_instance_id,size_stratum,stress_level,dilution_score,feasible_state_fraction,log_feasibility_gain_O0,log_feasibility_gain_O2,log_feasibility_gain_O3,p_feas_O0,p_feas_O2,p_feas_O3,p_opt_O0,p_opt_O2,p_opt_O3,p_opt_given_feasible_O0,p_opt_given_feasible_O2,p_opt_given_feasible_O3,expected_route_cost_given_feasible_O0,expected_route_cost_given_feasible_O2,expected_route_cost_given_feasible_O3,mean_energy_O0,mean_energy_O2,mean_energy_O3,objective_improvement_O0,objective_improvement_O2,objective_improvement_O3,p_feas_change_O0,p_feas_change_O2,p_feas_change_O3,p_opt_change_O0,p_opt_change_O2,p_opt_change_O3,paired_analysis_eligible,Delta_CVAR_MEAN,Delta_CVAR_CAPACITY,capacity_gap,cvar_residual_gap,stable_gap_closure_eligible,gap_closure,O2_greater_than_O0,O3_greater_than_O0,O3_at_least_O2,O3_within_NI_of_O2,O3_popt_vs_O0,O3_both_pfeas_and_popt_greater,O3_feasibility_up_conditional_quality_down
task-v2-10d8be977e09,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D2,1.806179973983887,0.015625,0.8555421173062188,0.8717557265714359,0.8681102453643023,0.1120371733749584,0.1162989389805676,0.115326807875375,0.0516727161435485,0.0556040277363647,0.0561138367958477,0.4612104588770173,0.4781129408726216,0.4865636865323259,14.693947705614914,14.609435295636894,14.56718156733837,1.4712789064381888,1.4869856509051105,1.5050281176302671,1.936312574790655e-05,0.0042756192452773,0.0012956556247195,1.3853639668076624e-05,0.0042756192452772,0.0033034881400847,1.593469673603215e-05,0.0039472462895522,0.0044570553490352,True,0.012568128058083494,-0.003645481207133594,0.016213609265217088,0.003645481207133594,True,0.7751591797050265,True,True,False,True,WIN,True,False
task-v2-110f51ef504a,g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,D7,4.640388671568018,2.288818359375e-05,2.127488829426765,2.987592860212458,3.233216608089772,0.0030697298539786,0.0222435545164547,0.0391586703321318,0.0002492061436387,0.0022096351656326,0.0044707039310519,0.0811817832490224,0.0993382224049693,0.1141689412110484,14.62504786532168,14.734039012953104,14.753890933256146,1.1987884127170008,1.2713035557760484,1.223973804713933,0.0898102648091725,0.0199511580325995,0.3813864579634337,0.0007773333701233,0.0199511580325994,0.0368662738482765,8.958316973300165e-06,0.0019693873389671,0.0042304561043865,True,1.1057277786630069,0.245623747877314,0.8601040307856929,-0.245623747877314,True,1.2855744643504812,True,True,True,True,WIN,True,False
task-v2-147f90045792,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D7,3.0682919036174985,0.0008544921875,2.098685904312765,2.1932218653965645,2.160454230496159,0.1072491850207857,0.133330639388417,0.1236409481654899,0.0183874485130372,0.0223272717061057,0.020870572013541,0.1714460441771524,0.1674579212139098,0.1687998379437075,15.255679579181082,15.387013463316013,15.33454435723141,1.2220265285522327,1.3283780673529877,1.3136857466796972,0.176156907286916,0.068107977022183,0.3513489960240915,0.0420265226545517,0.0681079770221829,0.0584182857992559,0.0080750273635325,0.012014850556601,0.0105581508640363,True,0.06176832618339434,-0.03276763490040535,0.09453596108379969,0.03276763490040535,True,0.653384442018217,True,True,False,True,WIN,True,True
task-v2-26d674ac9727,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D2,4.515449934959718,3.0517578125e-05,2.295391837288331,2.455277048628515,2.451854123312842,0.0060247898415829,0.00870616940992,0.0086378207683745,0.0039661232750266,0.0054182471167747,0.0053913434998882,0.658300684225134,0.6223457024166155,0.6241555184413503,24.70849657887433,24.88827148791692,24.87922240779325,1.3808388472073367,1.506702478808949,1.490896155005596,0.1151656908107372,0.0065286546499295,0.0570776341046914,0.0038472750815925,0.0065286546499296,0.0064603060083841,0.0024200556442752,0.0038721794860232,0.0038452758691368,True,0.15646228602451107,-0.003422925315673009,0.15988521134018407,0.003422925315673009,True,0.9785913575934791,True,True,False,True,WIN,True,True
task-v2-2bbd08239dbd,g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,D6,4.816479930623699,1.52587890625e-05,2.1661229207177524,3.01292546528896,3.0060598037688666,0.0022368815637217,0.0157197463708258,0.0154731905252085,0.0001673163540097,0.0015089511401006,0.0015087135018275,0.0747989329088159,0.0959908070082554,0.0975050038561591,14.547260303661322,14.687083712701604,14.68443316393286,1.373998583383385,1.483245376758989,1.4812121930770468,0.2618043508867802,0.0137994898639615,0.1446662144315378,0.0003166250568574,0.0137994898639615,0.0135529340183442,-1.474945730894122e-05,0.0013268853287819,0.0013266476905088,True,0.8399368830511142,-0.006865661520093269,0.8468025445712075,0.006865661520093269,True,0.9918922521382245,True,True,False,True,WIN,True,False
task-v2-30409dd5a775,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D1,3.010299956639812,0.0009765625,0.7721995990598289,1.3135942548116748,1.7636317253850196,0.0057796247532504,0.0201045472888581,0.056667201908723,0.0057796247532504,0.0201045472888581,0.056667201908723,1.0,1.0,1.0,25.0,25.0,25.0,1.5161276199986684,2.047563597076954,1.950013037474416,0.264539221009954,0.0194191124573268,0.5641640578786994,0.0050941899217191,0.0194191124573268,0.0559817670771917,0.0050941899217191,0.0194191124573268,0.0559817670771917,True,0.9914321263251906,0.45003747057334476,0.5413946557518459,-0.45003747057334476,True,1.8312558422808376,True,True,True,True,WIN,True,False
task-v2-356d367a6a2c,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D5,3.2144199392957367,0.0006103515625,2.221629598980991,2.282924887805314,2.276292521719084,0.1016739414784351,0.1170859943449073,0.1153114896024333,0.0345086766444702,0.0339272147987432,0.0348440317605954,0.3394053200129897,0.289763220516382,0.3021731128505004,10.99157504807837,11.272903167448383,11.20620347707916,1.199135815423419,1.3216406908816514,1.2999502968737988,0.1827604386588899,0.0509908903171152,0.347989479312268,0.0355788374506429,0.0509908903171152,0.0492163855746411,0.0145232339469435,0.0139417721012165,0.0148585890630687,True,0.054662922738093034,-0.006632366086229968,0.061295288824323,0.006632366086229968,True,0.8917964787597488,True,True,False,True,WIN,True,True
task-v2-36c69f7819b3,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D6,4.038328680240055,9.1552734375e-05,2.347648275057846,2.554885209674306,2.582598016403097,0.0203854167699026,0.0328516002422179,0.0350162259634674,0.0045675672092678,0.0065731116389175,0.0070164178999025,0.2240605262489147,0.2000849757836275,0.2003761886624446,20.282645738142644,20.50589541226165,20.636890841316948,1.313058140979276,1.435990290730593,1.3404025242618869,0.1099429097012416,0.0140864191394154,0.1792886559890367,0.0016202356671002,0.0140864191394155,0.0162510448606649,0.0009392418641902,0.0029447862938399,0.0033880925548249,True,0.23494974134525126,0.027712806728791062,0.2072369346164602,-0.027712806728791062,True,1.1337252299165688,True,True,True,True,WIN,True,True
task-v2-404bfd76cc2e,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D4,3.311329952303793,0.00048828125,1.9414845882217369,2.112637527873925,2.1196248709472663,0.0426731434755742,0.063285989605447,0.0643124298872628,0.0120993762132247,0.0167950225029199,0.0171042013961553,0.2835360891599261,0.2653829482264166,0.2659548306002179,16.698847798480774,16.72513201515016,16.72508682928771,1.3489333659690557,1.5372749575381686,1.5335410961600895,0.1586870590842855,0.0393019574627094,0.4030315461809293,0.0186891113328366,0.0393019574627094,0.0403283977445252,0.0054321238419757,0.0101277701316709,0.0104369490249064,True,0.1781402827255294,0.006987343073341368,0.17115293965218803,-0.006987343073341368,True,1.0408251420486312,True,True,True,True,WIN,True,True
task-v2-41f38ee1e3c2,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D4,4.214419939295737,6.103515625e-05,2.2987335733891463,2.6366200875811003,2.6138009539836764,0.0121426543899053,0.0264362681440235,0.0250830887438937,0.0052311692815754,0.0102581920684186,0.0098062856562824,0.4308093694838519,0.3880348017553959,0.3909520775693833,14.19445477641421,14.299126335158508,14.317281493967654,1.4337534439441506,1.545870809688395,1.5198013849180478,0.126401482091639,0.0201114136789581,0.185118862257541,0.0058177999248399,0.0201114136789581,0.0187582342788283,0.002710517399275,0.0077375401861182,0.007285633773982,True,0.3150673805945301,-0.022819133597423935,0.33788651419195403,0.022819133597423935,True,0.9324650951163433,True,True,False,True,WIN,True,True
