task_id,cobyla_objective_final,cobyla_G_feas_final,cobyla_p_feas_final,cobyla_p_opt_final,cobyla_runtime_s,nelder_mead_objective_final,nelder_mead_G_feas_final,nelder_mead_p_feas_final,nelder_mead_p_opt_final,nelder_mead_runtime_s,objective_nelder_minus_cobyla,G_nelder_minus_cobyla
task-v2-c5ed7c8b71f4,1.2566182888792197,1.9696656500576089,0.0683009834150155,0.0105250055773344,0.7845569243654609,1.2589907864150016,1.8776046465831489,0.055254283714676,0.0092577295235546,0.5475010955706239,0.0023724975357819478,-0.09206100347446
task-v2-c95d7e1ff6e7,1.412615898623212,2.514389269047061,0.004987803532022,0.0017607419266161,126.68837268836796,1.432571652807158,2.3878362725496185,0.0037269738186963,0.0013098839309,110.5222756676376,0.019955754183945906,-0.12655299649744256
task-v2-ce7fc44fc7b5,1.2602882371218822,1.1029459964602044,0.2970689639076634,0.1158993787652253,0.2631901884451508,1.2601116033699384,1.1043074337152097,0.2980016843545126,0.1164468483966929,0.0541697116568684,-0.00017663375194376663,0.00136143725500526
task-v2-cf1a83d8dbf9,1.3330814828014057,2.4488316152812963,0.0257337415569877,0.0078442884425534,6.34944711625576,1.3361075236297006,2.268881515846482,0.0170040680996662,0.0051102166192693,6.384648248553276,0.0030260408282949403,-0.17995009943481444
task-v2-d7382a83ef13,1.3651376944024782,1.099695943039874,0.196569425804615,0.1129773092559736,0.2647293042391538,1.3773227972257975,1.1060106710723991,0.1994484644752041,0.1096694421168411,0.0549721252173185,0.012185102823319305,0.006314728032525085
task-v2-e243a3cd3e64,1.32999934632616,1.963010867638638,0.0112103952248079,0.0028469454871638,6.255147444084287,1.3726761766763351,1.847207363447401,0.0085865246261507,0.0023802242133013,6.268454723060131,0.04267683035017522,-0.11580350419123686
task-v2-e442db508705,1.5648622119105828,1.1049670937671032,0.0994848900082902,0.0994848900082902,0.2767477873712778,1.5848599878719805,1.0757026569441623,0.0930020854816997,0.0930020854816997,0.0477375267073512,0.019997775961397624,-0.029264436822940887
task-v2-e449b07a1126,1.4103711734454836,2.8920105214183405,0.0029748878603969,0.0018910039197715,87.55350290518254,1.358800757495738,1.9266303402377416,0.0003221739474084,0.0002611804604328,106.74952816963196,-0.05157041594974565,-0.9653801811805989
task-v2-eb1005d46905,1.392208428368228,1.9968959806512487,0.0484803814600285,0.0176856339520718,0.7479066913947463,1.3694392513820186,2.014609119730319,0.0504985801539972,0.0185543957367335,0.594687762670219,-0.022769176986209283,0.01771313907907035
task-v2-ef23e17da545,1.4165767151067548,1.889355691256802,0.0283848760656733,0.0137635074674036,0.7003606148064137,1.4898048500363004,1.6070980961018972,0.0148193585978536,0.0076559222348558,0.5939056621864438,0.07322813492954561,-0.2822575951549047
task-v2-f0ef0f25a74e,1.3064991606534662,2.042975375487877,0.0808605483677423,0.0305063915389925,0.7272241795435548,1.2950700883360553,2.036133479965934,0.0795966494196583,0.0300038094306595,0.5666216257959604,-0.01142907231741086,-0.00684189552194292
task-v2-f1a738d52e35,1.4719813714922196,1.4479683269969728,0.0547896297996338,0.028648685181793,0.3489638352766633,1.5014188663438437,1.3302052886078364,0.0417768150642323,0.0211592457597685,0.1255617598071694,0.029437494851624058,-0.11776303838913638
task-v2-f4789f22d2c1,1.4472692712522233,0.5371919345730127,0.0134571151704459,0.00741087249702,0.3606173722073436,1.4470643369865983,0.5434971493849879,0.0136539146595596,0.0075746322846665,0.1242163693532347,-0.00020493426562495642,0.006305214811975213
task-v2-f5c9b9bdeb27,1.3260430211283492,2.646240113858948,0.0084463718304962,0.0025005728602707,126.80698083620518,1.324775683395781,2.685141302385244,0.0092378601819297,0.0027563303240504,79.79335439670831,-0.0012673377325682633,0.03890118852629598
task-v2-f6d986d24578,1.448191028335852,2.4547672420254965,0.0130439332021348,0.0050075181316008,6.021545651368797,1.5430876080258853,2.119645940466112,0.0060295828161867,0.0027562820399149,6.454814601689577,0.0948965796900334,-0.3351213015593846
task-v2-f83834022ee2,1.5389364989001957,0.8727106871650077,0.1165549475247032,0.0504001496250785,0.1592083536088466,1.5389340943685623,0.8730346550793986,0.1166419257207343,0.0504801941590944,0.0640861922875046,-2.404531633359852e-06,0.0003239679143909324
