task_id,base_instance_id,size_stratum,dilution_score,objective_final_B1,objective_final_B2,objective_final_B4,G_feas_final_B1,G_feas_final_B2,G_feas_final_B4,p_feas_final_B1,p_feas_final_B2,p_feas_final_B4,p_opt_final_B1,p_opt_final_B2,p_opt_final_B4,runtime_s_B1,runtime_s_B2,runtime_s_B4,optimizer_nfev_B1,optimizer_nfev_B2,optimizer_nfev_B4,objective_gain_B1_to_B2,objective_gain_B2_to_B4,G_change_B1_to_B2,G_change_B2_to_B4
task-v2-ac528a9510be,v2-S3-b001-g-a712031e7959d564,S3,3.311329952303793,1.3784627899220805,1.3541339161068209,1.3406096913670558,1.94232049603338,2.002414918696805,2.000531549551263,0.0427553576555398,0.0491003927918695,0.0488879241890041,0.0089190471671947,0.0103199779424937,0.0101399634228175,0.735700111836195,1.653567816130817,3.3376960828900337,120.0,240.0,480.0,0.02432887381525961,0.013524224739765112,0.06009442266342524,-0.001883369145541991
task-v2-b5e00db3fe1a,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,3.8622374211843744,1.3012890180956682,1.2851597321490258,1.2782616052309717,2.427171195228416,2.4296764222314025,2.4332604187307822,0.0367226297559987,0.0369350763450069,0.0372411426335431,0.0141532945081059,0.0140212407547061,0.013855374207436,6.192190853878856,13.562188811600208,27.13546887692064,120.0,240.0,480.0,0.016129285946642424,0.006898126918054137,0.0025052270029863877,0.0035839964993797935
task-v2-b9b3757d64c0,v2-S5-b000-g-a87f1b9ac089cc45,S5,5.11750992628768,1.3283033902083514,1.2598381495746185,1.236749214888924,2.77758248676571,2.904329639470882,2.880584597204493,0.0045716456476987,0.0061209624207289,0.0057952832972534,0.0023759986078605,0.0032313917894731,0.0031867823625612,129.88830542284995,194.183395864442,317.1997076915577,120.0,240.0,480.0,0.06846524063373294,0.023088934685694396,0.126747152705172,-0.023745042266389405
task-v2-c5ed7c8b71f4,v2-S3-b001-g-a712031e7959d564,S3,3.135238693248112,1.2566182888792197,1.1904499174265195,1.1737331468263918,1.9696656500576089,2.123219663296474,2.177850421148436,0.0683009834150155,0.0972704600792247,0.1103091982099142,0.0105250055773344,0.0159978737606142,0.0184108738160063,0.7845569243654609,1.6570460880175233,3.3521412275731564,120.0,240.0,480.0,0.06616837145270016,0.01671677060012766,0.15355401323886508,0.05463075785196203
task-v2-c95d7e1ff6e7,v2-S5-b000-g-a87f1b9ac089cc45,S5,4.816479930623699,1.412615898623212,1.3833785706946666,1.352531063178197,2.514389269047061,2.675427298359163,2.818039310483764,0.004987803532022,0.0072268221624363,0.0100359705876379,0.0017607419266161,0.0024934327305612,0.0034227825405542,126.68837268836796,247.64168778061867,403.4428828330711,120.0,240.0,480.0,0.029237327928545387,0.030847507516469586,0.1610380293121021,0.14261201212460106
task-v2-ce7fc44fc7b5,v2-S1-b000-g-548c8c6335dd2a2e,S1,1.630088714928206,1.2602882371218822,1.2599712440211557,1.2389880148915422,1.1029459964602044,1.1037232335743266,1.1230213437425771,0.2970689639076634,0.2976010907628769,0.3111233660562703,0.1158993787652253,0.1162579880527167,0.1197343305874258,0.2631901884451508,0.6284830691292882,1.1992772305384278,120.0,240.0,480.0,0.00031699310072652587,0.02098322912961348,0.0007772371141221424,0.01929811016825056
task-v2-cf1a83d8dbf9,v2-S4-b001-g-bd62d2d752385cc7,S4,4.038328680240055,1.3330814828014057,1.3128000102672874,1.304963493195611,2.4488316152812963,2.4951134777346144,2.483833055727146,0.0257337415569877,0.0286275905805867,0.0278935875879642,0.0078442884425534,0.0088061475463566,0.0084376853589129,6.34944711625576,13.468879223801196,26.76036377716809,120.0,240.0,480.0,0.020281472534118272,0.007836517071676541,0.04628186245331811,-0.01128042200746826
task-v2-d7382a83ef13,v2-S1-b000-g-548c8c6335dd2a2e,S1,1.806179973983887,1.3651376944024782,1.3511155951615004,1.3508235151087655,1.099695943039874,1.118529082055763,1.1208880235570766,0.196569425804615,0.2052811670564627,0.206399218978334,0.1129773092559736,0.1182081460887929,0.1185460100367683,0.2647293042391538,0.6004927596077323,1.2304910337552428,120.0,240.0,480.0,0.014022099240977859,0.0002920800527348444,0.0188331390158889,0.0023589415013136605
task-v2-e243a3cd3e64,v2-S4-b001-g-bd62d2d752385cc7,S4,3.9133899436317554,1.32999934632616,1.3033653321352276,1.2828106997695563,1.963010867638638,2.040659889947492,2.230464734434695,0.0112103952248079,0.0134050965495772,0.0207527087362119,0.0028469454871638,0.0032052651707913,0.0048082405477632,6.255147444084287,13.51586996205151,27.27622851356864,120.0,240.0,480.0,0.026634014190932254,0.020554632365671344,0.07764902230885395,0.18980484448720292
task-v2-e442db508705,v2-S1-b000-g-548c8c6335dd2a2e,S1,2.1072099696478683,1.5648622119105828,1.564602864759968,1.5645354958323137,1.1049670937671032,1.1060055050030368,1.1063519709822618,0.0994848900082902,0.0997230459935713,0.0998026335305434,0.0994848900082902,0.0997230459935713,0.0998026335305434,0.2767477873712778,0.6208354234695435,1.2548985444009304,120.0,240.0,480.0,0.0002593471506149303,6.73689276542433e-05,0.0010384112359336228,0.0003464659792249414
