graph_id,size_stratum,objective,depth,budget,n_tasks,objective_value,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas
g-553bb3c5ba0f2136,S1,O3,4,480,2,0.05813953488372093,1.7190355032551623,0.1441406898568636,0.10017816625239316,0.7703434093268108,1.0060725812050748
g-60667963f6db3f1b,S2,O0,2,120,2,1.7546439374989102,1.7546439374989102,0.032087337987662036,0.011498160724964184,0.642166086370401,1.0002121702704043
g-60667963f6db3f1b,S2,O0,2,240,2,1.7540450056380346,1.7540450056380346,0.03031782633106097,0.010801756669535542,0.6413858870702133,0.9738676035297025
g-60667963f6db3f1b,S2,O0,2,480,2,1.7539448412994938,1.7539448412994938,0.02232278781234635,0.008377595494698029,0.6391965000637576,0.891748529553759
g-60667963f6db3f1b,S2,O0,3,120,2,1.666217607538807,1.666217607538807,0.019560125166558136,0.0028370283333303014,0.6223306059837825,0.11772529034605239
g-60667963f6db3f1b,S2,O0,3,240,2,1.6527430009889605,1.6527430009889605,0.023999238594463578,0.004420180973753845,0.6236480954118027,0.2057214639816763
g-60667963f6db3f1b,S2,O0,3,480,2,1.5688344367899432,1.5688344367899432,0.037530161128135876,0.024104731004234183,0.6611071626792216,0.17548161817421226
g-60667963f6db3f1b,S2,O0,4,120,2,1.5405089611119462,1.5405089611119462,0.051194751132134314,0.018576898558206725,0.6443638282797863,1.1906321735748493
g-60667963f6db3f1b,S2,O0,4,240,2,1.5175985821702234,1.5175985821702234,0.05754958325202092,0.022975693186985523,0.6526206635216403,1.2879395210425253
g-60667963f6db3f1b,S2,O0,4,480,2,1.4834757744443257,1.4834757744443257,0.07070051850039175,0.03151855914844104,0.6643502578284792,1.40811319723897
g-60667963f6db3f1b,S2,O3,2,120,2,1.0012462248196938,2.0920915723953355,0.01648341919618372,0.011747378398639836,0.6357298444114465,0.9254220405521763
g-60667963f6db3f1b,S2,O3,2,240,2,0.9592676182321028,2.085091002729583,0.01934332302911628,0.014725928259831236,0.6302176312698604,0.9857500529494704
g-60667963f6db3f1b,S2,O3,2,480,2,0.9021185243376569,2.005571379630211,0.022955217959213545,0.019239515377083478,0.6303324244211336,1.044248412384014
g-60667963f6db3f1b,S2,O3,3,120,2,0.7026226502153812,1.9353430608482185,0.04284710504998794,0.019138747625356826,0.6297035117626487,1.2803640610626892
g-60667963f6db3f1b,S2,O3,3,240,2,0.544442786070851,1.9324162576468737,0.05670298576927435,0.025115191647454297,0.640688210799392,1.364268888765188
g-60667963f6db3f1b,S2,O3,3,480,2,0.5383412426282004,1.924213249430296,0.05712128890508517,0.027458335287516723,0.6737449942973677,1.3721976520666643
g-60667963f6db3f1b,S2,O3,4,120,2,0.42703379977518574,1.7986259197330505,0.0960768331774481,0.04124125194162499,0.6401294344979293,1.5829573886114727
g-60667963f6db3f1b,S2,O3,4,240,2,0.36936175272492083,1.683646389417215,0.12974761467059953,0.05418828295993754,0.7002498429436287,1.6926428531906215
g-60667963f6db3f1b,S2,O3,4,480,2,0.32281635191113145,1.6357462371366807,0.13389688973494596,0.06837102951489639,0.6886853703088287,1.7316881746003094
g-6aa6775bed3bc2cc,S2,O0,2,120,3,1.597048963060111,1.597048963060111,0.01472670021775934,0.010070231696136018,0.7431396723565457,0.7265736441076824
g-6aa6775bed3bc2cc,S2,O0,2,240,3,1.5265803124867359,1.5265803124867359,0.012134122740407252,0.00834208236169137,0.7433813087004966,0.5625258821529199
g-6aa6775bed3bc2cc,S2,O0,2,480,3,1.5265174520551208,1.5265174520551208,0.00848221336138003,0.0066993707885488404,0.7461597994205658,0.5114085741007329
g-6aa6775bed3bc2cc,S2,O0,3,120,3,1.531061249001115,1.531061249001115,0.005693895230187688,0.0038951968885939403,0.8203326786226629,0.19803186109036097
g-6aa6775bed3bc2cc,S2,O0,3,240,3,1.523328481931282,1.523328481931282,0.004125843833279647,0.0027283874684070476,0.8428336654890983,0.03994718184318852
g-6aa6775bed3bc2cc,S2,O0,3,480,3,1.5093537416918295,1.5093537416918295,0.011156517261176897,0.005502565773918018,0.8461669819842054,0.0961575142960327
g-6aa6775bed3bc2cc,S2,O0,4,120,3,1.5436135752980904,1.5436135752980904,0.038846040910333605,0.02485671092382885,0.7865951141144664,1.036040452730416
g-6aa6775bed3bc2cc,S2,O0,4,240,3,1.4991113215094787,1.4991113215094787,0.042108153268289206,0.02711433725846901,0.7930628702459197,1.0977759933807316
g-6aa6775bed3bc2cc,S2,O0,4,480,3,1.4389112213725903,1.4389112213725903,0.05079766237269708,0.034142798683330644,0.7861822435182368,1.1951807442762556
g-6aa6775bed3bc2cc,S2,O3,2,120,3,0.8264104212510569,1.7484558983162393,0.03021692829270096,0.020509507970695118,0.7210558966607242,1.1096013522556623
g-6aa6775bed3bc2cc,S2,O3,2,240,3,0.8010772392799076,1.7422069570608791,0.03289694850802198,0.02226411341909291,0.7226278967780568,1.1429766184531962
g-6aa6775bed3bc2cc,S2,O3,2,480,3,0.7997118870383603,1.7388417651881654,0.03317017081985765,0.022467330744114833,0.7223489678470053,1.147100758924526
g-6aa6775bed3bc2cc,S2,O3,3,120,3,0.697510780502408,1.7850001391598325,0.042634630987012256,0.02876904766825919,0.7622634312612321,1.1891358342049234
g-6aa6775bed3bc2cc,S2,O3,3,240,3,0.5514941888952926,1.7456650667507685,0.05580196034642356,0.03816100837330326,0.763676318384161,1.3601157867101465
g-6aa6775bed3bc2cc,S2,O3,3,480,3,0.49175575284568374,1.6379975583957833,0.07743400348285912,0.05513220847562524,0.7639046297368893,1.4494483396164226
g-6aa6775bed3bc2cc,S2,O3,4,120,3,0.3336278506144254,1.7463054836412963,0.07761654927483069,0.053092662369517325,0.7460280349241413,1.5105150366996345
g-6aa6775bed3bc2cc,S2,O3,4,240,3,0.2702729600116846,1.6301493473619004,0.0988861948432882,0.06568614386507864,0.748690233113293,1.603655986035438
g-6aa6775bed3bc2cc,S2,O3,4,480,3,0.24347946168385692,1.574828774601846,0.11159894955242966,0.07351743516412305,0.7417663367119864,1.6531011407771452
g-8a16a856f5377a40,S3,O0,2,120,2,1.701834322353065,1.701834322353065,0.00954717976789599,0.003920836998891978,0.6356627582419248,1.3664486717565838
g-8a16a856f5377a40,S3,O0,2,240,2,1.634728926074764,1.634728926074764,0.011003313469024084,0.005388157335833131,0.6366711440482551,1.4936151717989676
g-8a16a856f5377a40,S3,O0,2,480,2,1.608548564180834,1.608548564180834,0.011780127767210786,0.006178096932219275,0.6365515728367421,1.5402932945462653
g-8a16a856f5377a40,S3,O0,3,120,2,1.3816861559638314,1.3816861559638314,0.018961815287406612,0.0073246809017076,0.8824115936235738,1.00565933978258
g-8a16a856f5377a40,S3,O0,3,240,2,1.3638440332825033,1.3638440332825033,0.015556088351183212,0.00581778659637045,0.8736621007981684,0.787897846016457
g-8a16a856f5377a40,S3,O0,3,480,2,1.3506512879023487,1.3506512879023487,0.013946961048512518,0.005091024064568874,0.8710429928409051,0.5421166149664484
g-8a16a856f5377a40,S3,O0,4,120,2,1.403577262596112,1.403577262596112,0.0157279890495544,0.01178516209223953,0.7479686933550481,1.6476096444748625
g-8a16a856f5377a40,S3,O0,4,240,2,1.3758404973781335,1.3758404973781335,0.01773061419759983,0.014739800288587063,0.769000606350444,1.6841472973866098
