task_id,graph_id,objective,seed,transition,shallower_depth,deeper_depth,budget,deeper_terminal_objective,embedded_shallower_objective,signed_nested_regret,embedding_identity_error,embedding_identity_pass,nested_pass,nested_failure,actual_nfev,nit,termination_reason,wall_time_s
task-v2-8c0a098a6f8b,g-a712031e7959d564,O0,2207,p3->p4,3,4,480,1.4209650991274256,1.2581537241920056,0.16281137493542008,0.0,True,False,True,480,399,EVALUATION_BUDGET_EXHAUSTED,3.2703025862574577
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,O3,2207,p2->p3,2,3,120,1.0117471438377712,0.8090271085126012,0.20272003532517002,0.0,True,False,True,480,394,EVALUATION_BUDGET_EXHAUSTED,1.286247592419386
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,O3,2207,p2->p3,2,3,240,0.6932241391092314,0.7843594884313394,-0.09113534932210798,0.0,True,True,False,480,394,EVALUATION_BUDGET_EXHAUSTED,1.286247592419386
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,O3,2207,p2->p3,2,3,480,0.6898285424440609,0.6979530632937005,-0.00812452084963966,0.0,True,True,False,480,394,EVALUATION_BUDGET_EXHAUSTED,1.286247592419386
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,O3,3301,p2->p3,2,3,120,0.023255813953488372,0.023255813953488372,0.0,0.0,True,True,False,38,27,EARLY_CONVERGENCE,0.05775068141520023
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,O3,3301,p2->p3,2,3,240,0.023255813953488372,0.023255813953488372,0.0,0.0,True,True,False,38,27,EARLY_CONVERGENCE,0.05775068141520023
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,O3,3301,p2->p3,2,3,480,0.023255813953488372,0.023255813953488372,0.0,0.0,True,True,False,38,27,EARLY_CONVERGENCE,0.05775068141520023
task-v2-f5c9b9bdeb27,g-a87f1b9ac089cc45,O0,2207,p2->p3,2,3,120,1.705847422925768,1.4260892254335373,0.27975819749223074,-2.220446049250313e-16,True,False,True,480,388,EVALUATION_BUDGET_EXHAUSTED,469.87087620422244
task-v2-f5c9b9bdeb27,g-a87f1b9ac089cc45,O0,2207,p2->p3,2,3,240,1.6019511553508707,1.3372966400053417,0.2646545153455291,1.5543122344752192e-15,True,False,True,480,388,EVALUATION_BUDGET_EXHAUSTED,469.87087620422244
task-v2-f5c9b9bdeb27,g-a87f1b9ac089cc45,O0,2207,p2->p3,2,3,480,1.475645994353494,1.3247507441018602,0.15089525025163386,6.661338147750939e-16,True,False,True,480,388,EVALUATION_BUDGET_EXHAUSTED,469.87087620422244
task-v2-b5e00db3fe1a,g-3ff7063ef9ea5cfb,O0,3301,p2->p3,2,3,120,1.5318314750721744,1.8542611656505144,-0.3224296905783399,0.0,True,True,False,480,388,EVALUATION_BUDGET_EXHAUSTED,20.426495600491762
task-v2-b5e00db3fe1a,g-3ff7063ef9ea5cfb,O0,3301,p2->p3,2,3,240,1.4994756326210124,1.8381185854033428,-0.3386429527823305,-4.440892098500626e-16,True,True,False,480,388,EVALUATION_BUDGET_EXHAUSTED,20.426495600491762
task-v2-b5e00db3fe1a,g-3ff7063ef9ea5cfb,O0,3301,p2->p3,2,3,480,1.335540551205501,1.8335420744358386,-0.49800152323033764,-4.440892098500626e-16,True,True,False,480,388,EVALUATION_BUDGET_EXHAUSTED,20.426495600491762
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,O3,3301,p2->p3,2,3,120,0.839573038404286,1.1078439227709835,-0.26827088436669755,0.0,True,True,False,480,400,EVALUATION_BUDGET_EXHAUSTED,1.23185399081558
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,O3,3301,p2->p3,2,3,240,0.7819657012446213,1.1073787811234252,-0.32541307987880397,0.0,True,True,False,480,400,EVALUATION_BUDGET_EXHAUSTED,1.23185399081558
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,O3,3301,p2->p3,2,3,480,0.75680334019543,1.1070700797555226,-0.3502667395600926,0.0,True,True,False,480,400,EVALUATION_BUDGET_EXHAUSTED,1.23185399081558
task-v2-f4789f22d2c1,g-6aa6775bed3bc2cc,O3,2207,p2->p3,2,3,120,0.4404465775057704,0.47897646352136364,-0.03852988601559326,0.0,True,True,False,468,390,EARLY_CONVERGENCE,1.2322887070477009
task-v2-f4789f22d2c1,g-6aa6775bed3bc2cc,O3,2207,p2->p3,2,3,240,0.23368140210482885,0.17477764686797892,0.05890375523684993,0.0,True,False,True,468,390,EARLY_CONVERGENCE,1.2322887070477009
task-v2-f4789f22d2c1,g-6aa6775bed3bc2cc,O3,2207,p2->p3,2,3,480,0.0755813953488372,0.09510995264805813,-0.019528557299220928,0.0,True,True,False,468,390,EARLY_CONVERGENCE,1.2322887070477009
task-v2-e442db508705,g-548c8c6335dd2a2e,O3,1103,p3->p4,3,4,120,0.16086545542612202,0.45965581560461466,-0.29879036017849264,0.0,True,True,False,230,192,EARLY_CONVERGENCE,0.5406568758189678
task-v2-e442db508705,g-548c8c6335dd2a2e,O3,1103,p3->p4,3,4,240,0.023255813953488372,0.44649050760836845,-0.4232346936548801,0.0,True,True,False,230,192,EARLY_CONVERGENCE,0.5406568758189678
task-v2-e442db508705,g-548c8c6335dd2a2e,O3,1103,p3->p4,3,4,480,0.023255813953488372,0.4374416738255767,-0.41418585987208834,0.0,True,True,False,230,192,EARLY_CONVERGENCE,0.5406568758189678
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,O0,1103,p2->p3,2,3,120,1.4815563408147296,1.4826812389545612,-0.0011248981398315205,0.0,True,True,False,480,385,EVALUATION_BUDGET_EXHAUSTED,1.1870563896372914
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,O0,1103,p2->p3,2,3,240,1.4609165377425868,1.4826736068406765,-0.02175706909808972,0.0,True,True,False,480,385,EVALUATION_BUDGET_EXHAUSTED,1.1870563896372914
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,O0,1103,p2->p3,2,3,480,1.4325762530622967,1.4826736068406765,-0.05009735377837976,0.0,True,True,False,480,385,EVALUATION_BUDGET_EXHAUSTED,1.1870563896372914
task-v2-4e78b3f98433,g-553bb3c5ba0f2136,O0,2207,p3->p4,3,4,120,1.910289228556673,1.6268266183446116,0.2834626102120614,0.0,True,False,True,480,411,EVALUATION_BUDGET_EXHAUSTED,1.1801087511703372
task-v2-4e78b3f98433,g-553bb3c5ba0f2136,O0,2207,p3->p4,3,4,240,1.9089304651844912,1.6199873152304538,0.28894314995403736,0.0,True,False,True,480,411,EVALUATION_BUDGET_EXHAUSTED,1.1801087511703372
task-v2-4e78b3f98433,g-553bb3c5ba0f2136,O0,2207,p3->p4,3,4,480,1.8552859770124313,1.6198826043073131,0.23540337270511813,0.0,True,False,True,480,411,EVALUATION_BUDGET_EXHAUSTED,1.1801087511703372
task-v2-606c43f06406,g-3ff7063ef9ea5cfb,O3,3301,p3->p4,3,4,120,0.8565259993088126,0.9337990950139063,-0.07727309570509378,0.0,True,True,False,480,391,EVALUATION_BUDGET_EXHAUSTED,30.090403797104955
task-v2-606c43f06406,g-3ff7063ef9ea5cfb,O3,3301,p3->p4,3,4,240,0.8510782587963547,0.9294147744488555,-0.07833651565250077,0.0,True,True,False,480,391,EVALUATION_BUDGET_EXHAUSTED,30.090403797104955
task-v2-606c43f06406,g-3ff7063ef9ea5cfb,O3,3301,p3->p4,3,4,480,0.8405519233808082,0.9282831399946068,-0.08773121661379857,0.0,True,True,False,480,391,EVALUATION_BUDGET_EXHAUSTED,30.090403797104955
task-v2-4968f3a685c2,g-8a16a856f5377a40,O0,1103,p3->p4,3,4,120,1.49636125554013,1.4040450075189717,0.09231624802115834,0.0,True,False,True,480,395,EVALUATION_BUDGET_EXHAUSTED,3.2840593410655856
task-v2-4968f3a685c2,g-8a16a856f5377a40,O0,1103,p3->p4,3,4,240,1.4869153842093108,1.371948301986846,0.11496708222246488,0.0,True,False,True,480,395,EVALUATION_BUDGET_EXHAUSTED,3.2840593410655856
task-v2-4968f3a685c2,g-8a16a856f5377a40,O0,1103,p3->p4,3,4,480,1.4760301565375338,1.341953405992758,0.13407675054477575,0.0,True,False,True,480,395,EVALUATION_BUDGET_EXHAUSTED,3.2840593410655856
task-v2-f4789f22d2c1,g-6aa6775bed3bc2cc,O3,1103,p2->p3,2,3,120,0.8376283297148094,0.8410541842936522,-0.003425854578842813,0.0,True,True,False,480,400,EVALUATION_BUDGET_EXHAUSTED,1.267162287607789
task-v2-f4789f22d2c1,g-6aa6775bed3bc2cc,O3,1103,p2->p3,2,3,240,0.8282308477019452,0.8270476768976087,0.0011831708043364975,0.0,True,False,True,480,400,EVALUATION_BUDGET_EXHAUSTED,1.267162287607789
