contrast_type,objective,budget,depth,comparison,metric,n_graphs,positive_graphs,zero_graphs,negative_graphs,graph_delta_mean,graph_delta_median,graph_delta_ci_lower,graph_delta_ci_upper,graph_delta_bootstrap_se
DEPTH,O0,480,4,p4_minus_p3,objective_value,10,3,0,7,-0.02528884945257175,-0.03784043667592585,-0.06356070929996072,0.01972891961759116,0.021362956608329643
DEPTH,O0,480,4,p4_minus_p3,G_feas,10,10,0,0,0.8682951939242223,0.9250742612593529,0.6428012883032975,1.0747210119948363,0.11031313225991407
DEPTH,O0,480,4,p4_minus_p3,P_feas,10,10,0,0,0.03234650429214017,0.0297536713038362,0.018117265225169342,0.050131121515073804,0.008264371028010042
DEPTH,O0,480,4,p4_minus_p3,P_opt,10,10,0,0,0.015792360736405296,0.007998105041221098,0.006795683983517621,0.026438774910074445,0.005097854336620871
DEPTH,O0,480,4,p4_minus_p3,P_opt_given_feas,10,3,0,7,-0.08129688208624689,-0.08457371595777602,-0.1367324112346269,-0.02691227937921533,0.02827982642605008
DEPTH,O3,120,3,p3_minus_p2,objective_value,10,0,0,10,-0.16288804847757232,-0.12435200845598826,-0.2209942548413896,-0.1105158780658618,0.028278282678657257
DEPTH,O3,120,3,p3_minus_p2,G_feas,10,10,0,0,0.2686590052577962,0.2193250714664332,0.16239326618477543,0.3822799437880574,0.05610504899971518
DEPTH,O3,120,3,p3_minus_p2,P_feas,10,8,0,2,0.010854302983707927,0.007888858068417399,0.004097557759929736,0.017902640045836606,0.003503941106344995
DEPTH,O3,120,3,p3_minus_p2,P_opt,10,10,0,0,0.0108440342018637,0.007825454462140499,0.0055059533440909,0.017171167834098836,0.0029850914547106698
DEPTH,O3,120,3,p3_minus_p2,P_opt_given_feas,10,9,0,1,0.0593140821009285,0.061674125819416614,0.030640382021869184,0.08920983110593883,0.014939055645317863
DEPTH,O3,120,4,p4_minus_p3,objective_value,10,0,1,9,-0.150996734105057,-0.1336834172794967,-0.21904584656542397,-0.08691636650757843,0.033899717955659964
DEPTH,O3,120,4,p4_minus_p3,G_feas,10,10,0,0,0.2020603108969769,0.23347463810632274,0.1404344221467286,0.25983606394419967,0.030493039496488475
DEPTH,O3,120,4,p4_minus_p3,P_feas,10,10,0,0,0.02026098318160384,0.01837849339049075,0.012507699391391916,0.029592197199189357,0.004377929712879847
DEPTH,O3,120,4,p4_minus_p3,P_opt,10,8,0,2,0.008123652566998579,0.00437290087135935,0.0025352280365853242,0.014276939588240844,0.003020460110885416
DEPTH,O3,120,4,p4_minus_p3,P_opt_given_feas,10,5,0,5,-0.017351249305730475,-0.005895759180345517,-0.0451727300607961,0.00416653399979152,0.012805488730730922
DEPTH,O3,240,3,p3_minus_p2,objective_value,10,0,0,10,-0.1907231630289629,-0.1590271647473061,-0.2661306700467861,-0.12075177767046026,0.03732725038717498
DEPTH,O3,240,3,p3_minus_p2,G_feas,10,10,0,0,0.25898917509122343,0.22611202118978702,0.16906159506960475,0.35583297494838934,0.04795677043605254
DEPTH,O3,240,3,p3_minus_p2,P_feas,10,9,0,1,0.013773048370701233,0.007538602798761201,0.005990151512078275,0.022129207053071694,0.0041278606764981575
DEPTH,O3,240,3,p3_minus_p2,P_opt,10,10,0,0,0.011935013668726117,0.013143079170916647,0.006286453777971239,0.01820667233015277,0.003046564079038959
DEPTH,O3,240,3,p3_minus_p2,P_opt_given_feas,10,10,0,0,0.054035650549753976,0.04629827873026915,0.02894122313153339,0.08067642537951236,0.013285397522921705
DEPTH,O3,240,4,p4_minus_p3,objective_value,10,0,1,9,-0.12923678422421378,-0.1204829252354066,-0.1780556039750856,-0.083461699802586,0.024123662520855887
DEPTH,O3,240,4,p4_minus_p3,G_feas,10,10,0,0,0.20735002120954613,0.24047262245538237,0.14337129898314932,0.2686744434383377,0.0319512487566215
DEPTH,O3,240,4,p4_minus_p3,P_feas,10,10,0,0,0.02523364402454647,0.019318271729945397,0.014577337877666182,0.03843308803741649,0.006192088440566957
DEPTH,O3,240,4,p4_minus_p3,P_opt,10,8,0,2,0.009737691264260414,0.005602740661705399,0.003650686117418301,0.016567934525200896,0.0033138049151223777
DEPTH,O3,240,4,p4_minus_p3,P_opt_given_feas,10,5,0,5,-0.00953353442790419,-0.0034615630407874853,-0.03408346336397934,0.013608354603069172,0.012173707536314946
DEPTH,O3,480,3,p3_minus_p2,objective_value,10,0,0,10,-0.20976364792524435,-0.19233826586194525,-0.2934040622726365,-0.12778461287585727,0.04265070976255971
DEPTH,O3,480,3,p3_minus_p2,G_feas,10,10,0,0,0.24893137638842422,0.23688561323878787,0.16688196768672786,0.33354830669688446,0.042512700279150065
DEPTH,O3,480,3,p3_minus_p2,P_feas,10,10,0,0,0.01751741068478264,0.01094205274720346,0.00898295950547493,0.026700993186670765,0.004554754651035978
DEPTH,O3,480,3,p3_minus_p2,P_opt,10,10,0,0,0.01469338537488038,0.011825974610381599,0.00683425898544801,0.023141898296004732,0.004192341376901532
DEPTH,O3,480,3,p3_minus_p2,P_opt_given_feas,10,10,0,0,0.05753855541180296,0.060123154528379075,0.03078753811228306,0.08382002017597248,0.013599918847844247
DEPTH,O3,480,4,p4_minus_p3,objective_value,10,0,2,8,-0.10807213774901174,-0.10653079775350427,-0.1590950459867321,-0.058424725153002184,0.025746892414271284
DEPTH,O3,480,4,p4_minus_p3,G_feas,10,10,0,0,0.19699239496504867,0.22785882920870493,0.12895468287307146,0.2620342207630858,0.03398974110088251
DEPTH,O3,480,4,p4_minus_p3,P_feas,10,10,0,0,0.023134130882513437,0.01901233538802089,0.013022744589854848,0.03655330543497501,0.006219647392553707
DEPTH,O3,480,4,p4_minus_p3,P_opt,10,8,0,2,0.009340016508857341,0.0063857514013629,0.003407361325251757,0.017518502117138655,0.0037125136091473213
DEPTH,O3,480,4,p4_minus_p3,P_opt_given_feas,10,4,0,6,-0.007957739141222376,-0.008606031280237736,-0.021815447090040206,0.005715522772143641,0.00700629554088832
BUDGET,O0,480,2,nfev480_minus_nfev120,objective_value,10,0,0,10,-0.1255091216747491,-0.08832579539724283,-0.18582931681992745,-0.07051589535352572,0.029573288232281475
BUDGET,O0,480,2,nfev480_minus_nfev120,G_feas,10,7,0,3,0.0528495510460513,0.11001384233558287,-0.09858229996905969,0.20870746972160198,0.07873453721928558
BUDGET,O0,480,2,nfev480_minus_nfev120,P_feas,10,7,0,3,0.00793217908525565,0.0021552692079471,-0.0022015154156443508,0.024628680685924213,0.007543834560339373
BUDGET,O0,480,2,nfev480_minus_nfev120,P_opt,10,7,0,3,0.0042640224265738285,0.0008248935294698999,-0.000696143157567064,0.012548324069917741,0.0037570304400629945
BUDGET,O0,480,2,nfev480_minus_nfev120,P_opt_given_feas,10,5,0,5,-6.0151794392482304e-05,-1.605713715319146e-05,-0.0035641405759923514,0.0036565176397643315,0.0018300744263234203
BUDGET,O0,480,3,nfev480_minus_nfev120,objective_value,10,0,0,10,-0.06271866684316156,-0.045206217563448226,-0.08958730914532646,-0.0391941019234894,0.01305364335149904
BUDGET,O0,480,3,nfev480_minus_nfev120,G_feas,10,5,0,5,-0.044541887389565014,-0.02205900948308414,-0.19109608492636657,0.09146640625980033,0.07259725969049335
BUDGET,O0,480,3,nfev480_minus_nfev120,P_feas,10,7,0,3,0.009947625231373578,0.0007134861164522499,-0.00012353998893652857,0.025431968878889134,0.006990140124385411
BUDGET,O0,480,3,nfev480_minus_nfev120,P_opt,10,6,0,4,0.005595656736357471,0.0002514684933183,-3.266782535450318e-06,0.01286721680046736,0.003360699133271045
BUDGET,O0,480,3,nfev480_minus_nfev120,P_opt_given_feas,10,6,0,4,0.003865454023652315,0.008962335593138804,-0.028854723473083644,0.03354686334998485,0.015879870514351614
BUDGET,O0,480,4,nfev480_minus_nfev120,objective_value,10,0,0,10,-0.06503834301675633,-0.059961485094532696,-0.0775990432308241,-0.05356599768099258,0.006159693461483691
BUDGET,O0,480,4,nfev480_minus_nfev120,G_feas,10,9,0,1,0.10311917190311795,0.07222811373197158,0.05092101845069561,0.15848844554528388,0.027750326502771497
BUDGET,O0,480,4,nfev480_minus_nfev120,P_feas,10,9,0,1,0.01223959799517032,0.013173043184877699,0.006035295208846477,0.01850809775364598,0.003222547040110602
BUDGET,O0,480,4,nfev480_minus_nfev120,P_opt,10,8,0,2,0.00498308928097708,0.0015267074414755469,0.0014114533327303587,0.00912817371093888,0.0019804224045395892
BUDGET,O0,480,4,nfev480_minus_nfev120,P_opt_given_feas,10,4,0,6,-0.005650553200946151,-0.0011096946695883791,-0.023035690697596544,0.009362120863526795,0.008376227289013976
BUDGET,O3,480,2,nfev480_minus_nfev120,objective_value,10,0,0,10,-0.044962230452627004,-0.03981089435563229,-0.06802116123457086,-0.024145657456834096,0.011347322049460552
BUDGET,O3,480,2,nfev480_minus_nfev120,G_feas,10,9,0,1,0.12469645437585175,0.12353651049836362,0.06696711159945964,0.1835892466958723,0.029933643962316802
BUDGET,O3,480,2,nfev480_minus_nfev120,P_feas,10,9,0,1,0.0039030880777137,0.0037433181664774497,0.002387493665033249,0.005624568945083999,0.0008369662703238654
BUDGET,O3,480,2,nfev480_minus_nfev120,P_opt,10,9,0,1,0.002456206593076031,0.0019489835986568505,0.00142368512756563,0.0038003446401026074,0.0006141630773848511
BUDGET,O3,480,2,nfev480_minus_nfev120,P_opt_given_feas,10,5,1,4,0.004272473466230231,0.0006465355931405403,-0.004403369327646885,0.014109580123003824,0.004762948569526651
BUDGET,O3,480,3,nfev480_minus_nfev120,objective_value,10,0,1,9,-0.09183782990029901,-0.059954651277755344,-0.1417589675823029,-0.045042670444063765,0.02500427838671012
BUDGET,O3,480,3,nfev480_minus_nfev120,G_feas,10,10,0,0,0.10496882550647979,0.09649821277648407,0.06263956223805743,0.15224694513509443,0.023059403445922996
BUDGET,O3,480,3,nfev480_minus_nfev120,P_feas,10,10,0,0,0.010566195778788411,0.006168565713824301,0.004920264947779519,0.01760297207983753,0.0032408032806873024
BUDGET,O3,480,3,nfev480_minus_nfev120,P_opt,10,9,1,0,0.006305557766092709,0.0015612891266511997,0.001326543272926358,0.012488763665179484,0.0028516064340822146
BUDGET,O3,480,3,nfev480_minus_nfev120,P_opt_given_feas,10,5,1,4,0.0024969467771046917,0.0008159702957289405,-0.00620464508065521,0.013530457209272253,0.005020937008372502
BUDGET,O3,480,4,nfev480_minus_nfev120,objective_value,10,0,1,9,-0.048913233544253754,-0.05272797281829883,-0.06978401006357658,-0.0277557758575568,0.010695107135255151
BUDGET,O3,480,4,nfev480_minus_nfev120,G_feas,10,9,1,0,0.09990090957455158,0.11926684568674584,0.06695703073933831,0.128908037953363,0.015999079030110438
BUDGET,O3,480,4,nfev480_minus_nfev120,P_feas,10,9,1,0,0.013439343479698013,0.007040918031673652,0.0064028383500003725,0.021664398958684123,0.003916329943243244
BUDGET,O3,480,4,nfev480_minus_nfev120,P_opt,10,9,1,0,0.007521921707951471,0.0028698982463591506,0.002330060964969682,0.013522624996356671,0.0028563809805534873
BUDGET,O3,480,4,nfev480_minus_nfev120,P_opt_given_feas,10,5,1,4,0.011890456941612792,0.0005259474064627789,-0.0023543127036050313,0.028101736902440434,0.007783940471609195
