task_id,base_graph_id,base_instance_id,size_stratum,stress_level,depth,n_edges,feasible_state_fraction,dilution_score,raw_energy_span,normalized_energy_span,hamiltonian_normalization_factor,n_seed_rows,n_finite_objective_seeds,n_successful_seed_rows,seed_statuses,p_feas_median,p_feas_mean,p_feas_min,p_feas_max,p_opt_median,p_opt_mean,p_opt_min,p_opt_max,log_feasibility_gain_median,log_feasibility_gain_mean,log_feasibility_gain_min,log_feasibility_gain_max,objective_final_median,objective_final_mean,objective_final_min,objective_final_max,optimizer_runtime_s_median,optimizer_runtime_s_mean,optimizer_runtime_s_min,optimizer_runtime_s_max,objective_selected_multistart_optimizer_seed,objective_selected_multistart_objective_final,objective_selected_multistart_p_feas,objective_selected_multistart_p_opt,objective_selected_multistart_log_feasibility_gain,objective_selected_multistart_runtime_s,objective_selected_multistart_execution_status,p_opt_given_feasible_median,p_opt_given_feasible_mean,p_opt_given_feasible_min,p_opt_given_feasible_max
task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,3,10,0.0009765625,3.010299956639812,581.1195838823343,3.3786022318740367,172.0,3,3,3,"{""SUCCESS"": 3}",0.0001684157655081,0.0002610415906222667,0.0001513256565989,0.0004633833497598,0.0001684157655081,0.0002610415906222667,0.0001513256565989,0.0004633833497598,-0.7633172997078159,-0.6322881315774618,-0.8097874763766114,-0.323759618647958,1.7611338958773326,1.7651642440873594,1.7348423196756952,1.79951651670905,0.3415861623361707,0.3384213335812092,0.3285463098436594,0.3451315285637975,1103,1.7348423196756952,0.0004633833497598,0.0004633833497598,-0.323759618647958,0.3415861623361707,SUCCESS,1.0,1.0,1.0,1.0
task-v2-f1a738d52e35,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D2,1,10,0.001953125,2.709269960975831,588.8463564880509,3.4235253284189007,172.0,3,3,3,"{""SUCCESS"": 3}",0.0126486102084648,0.0281743255510188,0.0126438333887309,0.0592305330558607,0.0072859062443614,0.017523049831065833,0.0072814998281579,0.0380017434206782,0.8113127701277278,1.034759032545619,0.8111487253632795,1.48181560214585,1.9346363002739608,1.8755618097299236,1.7574127820585534,1.9346363468572567,0.1446358347311616,0.17096252335856357,0.133655272424221,0.2345964629203081,2207,1.7574127820585534,0.0592305330558607,0.0380017434206782,1.48181560214585,0.2345964629203081,SUCCESS,0.5760242528056999,0.5978360192151858,0.5758933706487873,0.6415904341910702
task-v2-f1a738d52e35,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D2,2,10,0.001953125,2.709269960975831,588.8463564880509,3.4235253284189007,172.0,3,3,3,"{""SUCCESS"": 3}",0.0197278087985491,0.019820054277816166,0.0114882753098701,0.0282440787250293,0.0120701078875866,0.009921602967084333,0.0047393104042268,0.0129553906094396,1.0043488110761574,0.9780236603349642,0.7695247956147193,1.160197374314016,1.789972766722728,1.7360351221424868,1.5242604748595223,1.8938721248452108,0.2843608800321817,0.285838417087992,0.2805116791278124,0.2926426921039819,2207,1.5242604748595223,0.0282440787250293,0.0120701078875866,1.160197374314016,0.2805116791278124,SUCCESS,0.4273500298981393,0.49886386567145163,0.4125345429487678,0.6567070241674476
task-v2-f1a738d52e35,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D2,3,10,0.001953125,2.709269960975831,588.8463564880509,3.4235253284189007,172.0,3,3,3,"{""SUCCESS"": 3}",0.0079283861104386,0.013897657566273133,0.0036703094195684,0.0300942771688124,0.0069522158064065,0.012379968829132998,0.0036585676688503,0.0265291230121422,0.6084547530017002,0.6900604232549267,0.2739726392733455,1.1877538774897345,1.7310942254080857,1.7794895649006814,1.730182208754327,1.8771922605396312,0.343909909017384,0.342535022025307,0.33884665556252,0.344848501496017,1103,1.730182208754327,0.0079283861104386,0.0069522158064065,0.6084547530017002,0.33884665556252,SUCCESS,0.8815338166565164,0.9184037475170599,0.8768765432921042,0.9968008826025592
task-v2-a0f813383468,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D3,1,10,0.0029296875,2.533178701920149,586.223812038228,3.408277976966441,172.0,3,3,3,"{""SUCCESS"": 3}",0.0150332370350904,0.04041037447895194,0.0150279267574699,0.0911699596442955,0.00670598382432,0.017382800986294467,0.0067022971377517,0.0387401219968117,0.7102312071319212,0.97111314776115,0.7100777716689531,1.4930304644825756,1.9124771371189,1.846696340688487,1.7151345775714413,1.9124773073751204,0.2173950234428048,0.19001247733831406,0.0916081527248025,0.2610342558473348,2207,1.7151345775714413,0.0911699596442955,0.0387401219968117,1.4930304644825756,0.2610342558473348,SUCCESS,0.4459894731933121,0.43899621569539476,0.4249220044404797,0.4460771694523925
task-v2-a0f813383468,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D3,2,10,0.0029296875,2.533178701920149,586.223812038228,3.408277976966441,172.0,3,3,3,"{""SUCCESS"": 3}",0.0453993938747525,0.038669345727273964,0.0140469351739137,0.0565617081331557,0.0128918693315081,0.0114305096711425,0.0039304144048983,0.0174692452770211,1.1902287565700391,1.0522300850100752,0.6807602800934447,1.285701218366742,1.519600850974557,1.6264860762210984,1.4862253921164332,1.8736319855723045,0.2910138247534632,0.2895071692764759,0.2832427900284529,0.2942648930475116,2207,1.4862253921164332,0.0565617081331557,0.0174692452770211,1.285701218366742,0.2910138247534632,SUCCESS,0.2839656707108057,0.29087478780734655,0.279805833531388,0.308852859179846
task-v2-a0f813383468,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D3,3,10,0.0029296875,2.533178701920149,586.223812038228,3.408277976966441,172.0,3,3,3,"{""SUCCESS"": 3}",0.0110490620587291,0.0385075062064403,0.005551227793741,0.0989222287668508,0.0074836411602986,0.017521001467439967,0.0042944371155506,0.0407849261264707,0.5765041147822554,0.7941814867312806,0.2775677508219852,1.5284725945896014,1.7168371425882276,1.7127106221266022,1.6957575501871576,1.725537173604421,0.3410552553832531,0.3410372482612729,0.3409835211932659,0.3410729682072997,3301,1.6957575501871576,0.0989222287668508,0.0407849261264707,1.5284725945896014,0.3410552553832531,SUCCESS,0.6773100848308043,0.6210680778885214,0.4122928348348934,0.7736013139998663
task-v2-6996479d6302,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D4,1,10,0.00390625,2.4082399653118496,564.2177030428672,3.2803354828073674,172.0,3,3,3,"{""SUCCESS"": 3}",0.0106993656105673,0.046742641499347974,0.0106979324897913,0.1188306263976853,0.0029335696681188,0.015079184461407132,0.0029334883077477,0.0393704954083549,0.4375979934645661,0.786102054483841,0.4375398182274018,1.4831683517595546,1.6126142241558925,1.5536723540101083,1.4357886134778677,1.6126142243965649,0.0882785664871335,0.13471938297152516,0.0751072810962796,0.2407723013311624,2207,1.4357886134778677,0.1188306263976853,0.0393704954083549,1.4831683517595546,0.2407723013311624,SUCCESS,0.2742183754588289,0.29323616018557247,0.2741740412020754,0.3313160638958131
task-v2-6996479d6302,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D4,2,10,0.00390625,2.4082399653118496,564.2177030428672,3.2803354828073674,172.0,3,3,3,"{""SUCCESS"": 3}",0.0575229919921651,0.08147500788098687,0.0208944086691845,0.166007622981611,0.01637879063906,0.0256295119157561,0.0050861899095585,0.0554235551986498,1.168081432601368,1.1749064930060094,0.7282700500356153,1.628367996381045,1.5711715778007558,1.5556313427277575,1.359232437207909,1.7364900131746082,0.2859001643955707,0.2844181408484776,0.2791040707379579,0.2882501874119043,2207,1.359232437207909,0.166007622981611,0.0554235551986498,1.628367996381045,0.2882501874119043,SUCCESS,0.2847346786358214,0.28733989238749613,0.2434234914271455,0.3338615070995215
task-v2-6996479d6302,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D4,3,10,0.00390625,2.4082399653118496,564.2177030428672,3.2803354828073674,172.0,3,3,3,"{""SUCCESS"": 3}",0.0389518345687185,0.0764909027807631,0.0221681232691571,0.1683527505044137,0.0054239310975243,0.0222742061697087,0.004953181671165,0.0564455057404368,0.9987678823732744,1.1290656523039915,0.7539688930520073,1.6344601814866926,1.571181160049544,1.6086344117466609,1.3623349023653857,1.8923871728250523,0.3315931791439652,0.33488476493706304,0.3308505676686764,0.3422105479985475,3301,1.3623349023653857,0.1683527505044137,0.0564455057404368,1.6344601814866926,0.3315931791439652,SUCCESS,0.2446725431679079,0.23570513635700074,0.1271617043460872,0.3352811615570071
